time,open,high,low,close,volume
1591228800,72593907676.65811,75073663413.57518,70256888330.80742,73034857058.35654,48712017376.136
1591315200,72955188500.36697,74633573233.26248,71179465659.57588,72502957523.80782,45925748097.905136
1591401600,72497841419.28755,74091232097.16254,71425836006.80539,72934414875.83102,37686828538.55878
1591488000,72894204122.40637,74476381391.82474,70139116102.32892,72993462631.29913,44745833151.37157
1591574400,72910690769.26535,74057400193.96735,71521495537.36053,73040019113.35378,37564756857.39534
1591660800,73097377895.91841,74776495709.40048,69633398676.95096,73017730283.22934,39885757123.91245
1591747200,72997904575.684,75222870994.84851,71017883659.71915,73664575027.5842,40778061792.73381
1591833600,73675774820.5633,75011992901.61722,66762224814.40409,68517235527.59512,55777559447.5517
1591920000,68490776510.681625,71775247859.84204,67826183875.5482,70367375511.05118,43062694994.386765
1592006400,70411315929.63675,71396377085.35016,69070134519.14622,70597291084.09381,33856299397.3125
1592092800,70597149698.60739,71115209489.42871,68182569813.93109,69249030036.20909,32967136087.122726
1592179200,69877830235.9542,71510589641.45134,65568194748.106415,70091772864.9796,47595000772.778
1592265600,70072188460.61523,71843077475.32182,68976391575.36542,70709814881.67606,37528020669.85835
1592352000,70676629758.3548,72482026236.63089,68644400918.80594,70880536453.85844,37004949683.8474
1592438400,70851023874.17824,71804614533.67789,68761922446.44525,70091447711.33614,32178096452.610523
1592524800,69980790458.9123,71004934889.61037,68347522063.77388,69492033691.65866,34536011424.74643
1592611200,69404729573.06412,70768277625.88585,67890432453.76048,69806372375.52943,31386649565.73745
1592697600,69773696284.30591,70819378417.23401,68726826745.47852,69364983437.91055,28528311156.82093
1592784000,69654764116.676,73390712680.3489,68768404448.35022,71819003878.40965,38288549323.8824
1592870400,71830043086.65701,73356614554.53583,70586346258.05542,71908607732.74113,32729038535.332848
1592956800,71951514583.07391,73354286307.58386,68461449973.126114,70050281270.50026,36588242556.229904
1593043200,70039978035.83446,70955173058.56383,67544442683.5122,69630811271.18707,31369989687.03874
1593129600,69644864829.35345,70905159533.67764,67453079679.02689,69183962515.12813,33521990764.028137
1593216000,69199860123.75555,69961572576.77176,64205999025.26646,66743409193.15117,32684597481.813526
1593302400,66724395177.81209,69166580445.45651,65698084140.75789,67964804335.56114,27958196190.65998
1593388800,68053867134.93559,69995294935.72037,66804464810.43535,68856847160.10149,30911627282.664787
1593475200,68810111827.66432,69678198540.94672,67355641625.6628,68434229297.12175,28118066367.57727
1593561600,68513776250.656624,70687838368.23534,67485392668.37811,69561479196.0855,30262612187.04187
1593648000,69737152884.27017,70850613767.61266,66985206776.77712,68748101497.30966,31653297470.73522
1593734400,68815033607.50836,70670086988.433,67899896013.9563,69275581439.06078,26302673859.83069
1593820800,69219514604.4597,71423755715.10818,68654782936.53935,70391208666.0871,26199044418.88443
1593907200,70378492751.66977,71281869266.71288,67899951076.7328,70004437707.86177,28384175320.199947
1593993600,69976005062.77525,74925008043.3224,69311646691.87657,73872887637.05864,42263804325.34143
1594080000,73881279854.03085,76147957172.24095,71928956763.89954,74305204091.04709,32345682707.48226
1594166400,73718098693.0611,78828495907.75467,72862559640.5227,77319345066.32068,45408682064.36616
1594252800,78048381266.75395,83534169600.43253,74022004166.68872,76776080099.0767,39535041041.33061
1594339200,76839158761.82845,78066279995.8108,73297422462.09328,76179455902.92764,31479586117.10296
1594425600,76325080615.99553,78686250789.98746,75080726100.2588,77110438683.30406,27546833652.45201
