symbol,breakout_date,peak_date,b_ratio_-3,b_ratio_-2,b_ratio_-1,b_ratio_+0,b_ratio_+1,b_ratio_+2,b_ratio_+3,p_ratio_-3,p_ratio_-2,p_ratio_-1,p_ratio_+0,p_ratio_+1,p_ratio_+2
CSPR-USD,2022-03-29,2022-04-01,2.9396781959383445,9.16363642312017,8.069328333901993,5.891268486975054,6.717538494745701,10.313303465301171,31.341783140756863,5.891268486975054,6.717538494745701,10.313303465301171,31.341783140756863,12.353637366038384,10.427518456437701
CSPR-USD,2022-10-13,2022-10-16,6.187331863379408,4.074944375483969,3.2417716856032452,11.46734464769208,5.049245022926274,14.8612155760391,38.71560918288333,11.46734464769208,5.049245022926274,14.8612155760391,38.71560918288333,13.584645948930785,8.273629577299445
CTC-USD,2021-01-01,2021-01-06,3.04156270159619,3.1679190286498127,5.864506976845663,6.7121245650855865,5.649120381874995,17.479130610164752,35.95697402730935,17.479130610164752,35.95697402730935,16.601305463390382,38.23850532155253,40.26864996535411,22.84662065983085
CTC-USD,2021-02-07,2021-02-16,1.9718005514194115,2.7678852187950076,3.182196146371963,2.4497162813554185,5.089822106041608,30.581118937755214,17.26938595735714,23.531626341153732,62.946419320817284,21.549299662552613,14.040422590916869,31.496927100019747,8.51730751787878
CTC-USD,2021-02-26,2021-03-07,30.170056672378376,11.35168529682915,11.81923382531771,12.97837794785439,30.382896682457282,9.342141536799907,15.314044964233764,6.937302540908652,8.288017596258523,5.13581901863811,1.8999346857783372,11.339256735065216,10.391634674504168
CTC-USD,2021-05-23,2021-05-31,20.968842931802946,24.435494800489987,24.741186385380786,102.35688923303724,41.216824999673605,28.770324099400945,8.268183923826978,13.670734582649334,29.702919537800156,14.557225241671157,23.03177262919427,11.993277769425559,7.691407328581978
CTC-USD,2021-08-22,2021-08-27,8.037720696230855,7.882854897895619,3.087471687623089,3.294316813680531,16.096122652764212,6.772206413697912,15.903091528531155,6.772206413697912,15.903091528531155,9.763753127096496,28.548580722940375,11.279169429891933,10.268966331881547
CTC-USD,2022-03-20,2022-03-24,4.248427223124351,4.456490899898458,13.07903088325235,9.392327894461516,13.128879108843282,11.69725677881981,42.2920220308457,13.128879108843282,11.69725677881981,42.2920220308457,32.25251088161005,49.92056719696969,9.116835930915567
CTC-USD,2022-10-07,2022-10-10,10.572010408417265,3.4353385847680995,4.128982624111988,4.779425977586382,2.6381680831722765,4.298770296554033,69.76678838918716,4.779425977586382,2.6381680831722765,4.298770296554033,69.76678838918716,29.003720344262373,29.44415514422014
CTC-USD,2022-10-27,2022-11-05,11.072878275503918,7.5948062809763295,4.837497039744765,2.848395778282642,15.708662341804459,10.902626112337321,24.061955935239855,19.706516222096692,7.944069295551115,12.37324074720265,5.265016495495445,4.476166524981173,4.684853881060458
CTC-USD,2022-12-18,2022-12-22,7.186744989847971,14.27371405853075,8.420008809923463,5.811418930095269,23.56160923464776,10.090503374400894,11.833459241091937,23.56160923464776,10.090503374400894,11.833459241091937,21.466279260733035,37.0772908801317,15.17622495218447
CTC-USD,2023-12-27,2024-01-02,6.005853426785723,3.1299150848082213,6.823308340883361,16.634969770389475,6.076122479690804,10.975799610517933,27.929158703101532,27.929158703101532,15.912395159761905,10.34791398422248,8.409623733670823,30.734806424322315,15.551169874492032
CTC-USD,2024-03-05,2024-03-13,9.881846300256857,14.02504636352373,9.416865705371524,19.701783260966877,9.414967927555718,27.5216798016759,18.276755774312537,29.708794291635733,21.590983780587013,11.981010509058642,10.650431385703563,13.50225764486166,22.805160011131797
CTC-USD,2024-11-12,2024-11-21,5.46198640129576,15.273543232089137,14.190637977137555,11.308792211491614,21.841445322605345,23.746041348081846,14.728952001255458,23.843698682698133,16.692309945177474,13.493972158215971,11.945479631348665,14.739601603986973,7.38521624098516
CTC-USD,2024-11-29,2024-12-05,10.418140084598825,20.003632160254714,13.494182760496098,4.538858844064442,6.264742450370253,28.536212812122773,32.23546503078671,32.23546503078671,63.01172514479625,15.697024437172068,82.26154795802614,75.11470738834853,36.18136450521761
CVX-USD,2021-12-04,2021-12-12,10.251440641192588,6.754366923502397,22.71359898206049,23.33611458312763,23.586818919625195,15.414020675186247,11.178077355572725,9.977649169299196,9.622948043088275,5.33198061870177,19.775610006030455,18.98383533078256,9.790771297784229
CVX-USD,2021-12-14,2021-12-23,5.33198061870177,19.775610006030455,18.98383533078256,9.790771297784229,16.873548127326686,9.129898837514538,19.013428756915495,6.965187150218899,19.548631780465264,12.138835510526501,34.20540042633051,11.245029088271497,11.32201616414823
