symbol,breakout_date,b_adx_-3,b_adx_-2,b_adx_-1,b_adx_+0,b_adx_+1,b_adx_+2,b_adx_+3,p_adx_-3,p_adx_-2,p_adx_-1,p_adx_+0,p_adx_+1,p_adx_+2
MATIC-USD,2021-02-23,50.51478642686528,51.45416987167495,50.966341074767975,49.07987100512421,47.92078410485136,48.022685983005694,48.11730915557757,50.51478642686528,51.45416987167495,50.966341074767975,49.07987100512421,47.92078410485136,48.022685983005694
MATIC-USD,2021-03-06,48.29183865022459,46.902919951211125,45.11416059920771,43.62869852113664,42.249340877213506,40.838663382494005,41.474698305471065,48.29183865022459,46.902919951211125,45.11416059920771,43.62869852113664,42.249340877213506,40.838663382494005
MATIC-USD,2021-03-10,42.249340877213506,40.838663382494005,41.474698305471065,42.57686293045874,44.89955806722974,47.05634640851709,49.0590784397125,42.249340877213506,40.838663382494005,41.474698305471065,42.57686293045874,44.89955806722974,47.05634640851709
MATIC-USD,2021-04-23,24.965749462557845,23.40614847388886,22.433247829432037,21.239170957671778,20.087437948033322,18.65408272476206,19.97757741449238,24.965749462557845,23.40614847388886,22.433247829432037,21.239170957671778,20.087437948033322,18.65408272476206
MATIC-USD,2021-05-11,38.387374831428964,40.0058468220957,41.30667199240652,42.88544327613073,44.797342733675364,45.68401926251265,47.42524282893386,38.387374831428964,40.0058468220957,41.30667199240652,42.88544327613073,44.797342733675364,45.68401926251265
MATIC-USD,2021-05-15,44.797342733675364,45.68401926251265,47.42524282893386,49.64653844077727,51.681297551716554,53.57071672616018,56.0261306520732,44.797342733675364,45.68401926251265,47.42524282893386,49.64653844077727,51.681297551716554,53.57071672616018
MATIC-USD,2021-05-22,54.85425094711979,53.76607693537733,52.14632607712942,50.33820647877126,47.240698990000276,45.981414798002625,44.812079476861946,54.85425094711979,53.76607693537733,52.14632607712942,50.33820647877126,47.240698990000276,45.981414798002625
MATIC-USD,2021-07-20,27.821629800612552,28.624470074171985,29.78640605213634,31.45693390410364,30.409593679545782,29.437063471027777,28.231523516634688,27.821629800612552,28.624470074171985,29.78640605213634,31.45693390410364,30.409593679545782,29.437063471027777
MATIC-USD,2021-08-10,21.83999014776784,22.8541851378307,23.184215687201608,23.705647274255057,25.940617311345438,28.247161706822276,30.542058066605133,21.83999014776784,22.8541851378307,23.184215687201608,23.705647274255057,25.940617311345438,28.247161706822276
MATIC-USD,2022-06-20,42.336558333218946,43.66356355068028,44.89578268118008,45.20361056976865,44.25538868200885,42.98760106056987,40.115191919501555,42.336558333218946,43.66356355068028,44.89578268118008,45.20361056976865,44.25538868200885,42.98760106056987
MATIC-USD,2022-07-12,21.86421692967624,20.805122194929197,19.441958907199968,18.176164425737113,18.036626957219543,19.035921914123254,20.204231605221157,21.86421692967624,20.805122194929197,19.441958907199968,18.176164425737113,18.036626957219543,19.035921914123254
MATIC-USD,2022-11-01,17.537769721161713,17.286514076307093,16.93714759665318,15.945482928921209,15.49971463644959,15.74613151954101,18.218134127757505,17.537769721161713,17.286514076307093,16.93714759665318,15.945482928921209,15.49971463644959,15.74613151954101
