symbol,date,rsi,macd,macd_signal
A-USD,2024-05-27,49.90192944397218,-0.0008309127743683,-0.0012476760687532
A-USD,2024-06-16,39.640067594851054,-0.0008523657624429,-0.0005198505655155
A-USD,2024-06-20,39.83905319535176,-0.0009251268861772,-0.000704226871055
A-USD,2024-06-24,43.53920330200356,-0.0010044594805597,-0.0008699467791856
A-USD,2024-07-01,49.120835634534,-0.0002698959212099,-0.0005974655661472
A-USD,2024-07-20,46.1802213718988,-0.0005117075868253,-0.0005828718337205
A-USD,2024-07-25,41.40046513518735,-0.000375504480063,-0.0004394763435224
A-USD,2024-09-17,24.639556108390465,-8.662188439339136e-05,-6.958581846400094e-05
ACH-USD,2020-09-10,,,
ACH-USD,2020-11-08,33.13343520486535,-0.0018130965963207,-0.0019765716000785
ACH-USD,2020-12-04,28.44252538789739,-0.0012369267071497,-0.0011253249987935
ACH-USD,2021-01-15,42.75653479616821,-0.0002770337727357,-0.0003233254187298
ACH-USD,2021-01-25,55.88045751049014,-4.350164277511746e-05,-0.0001239587898953
ACH-USD,2021-02-09,71.4431961831355,0.0007693335832534,0.0006163702047666
ACH-USD,2021-03-10,47.99424515069904,-0.000261668387159,-0.0001403700219306
ACH-USD,2021-03-26,46.971399985007366,0.0001899440619462,0.0002978211954685
ACH-USD,2021-05-07,44.809628909345335,-0.0006568195573947,-0.0005913049459266
ACH-USD,2021-06-22,29.743987410105788,-0.0005979345578179,-0.000608759327504
ACH-USD,2021-07-25,31.282049937996305,-0.0003153182332426,-0.0003333999301094
ACH-USD,2021-07-30,77.69597093291853,0.000156872476768,-0.0001438927365554
ACH-USD,2021-08-03,93.00304212857333,0.0024341087739344,0.0006855703636585
ACH-USD,2021-08-19,57.66248855229008,0.0155917814715827,0.019106562839103
ACH-USD,2021-10-31,58.2939148657164,-0.0011448210478736,-0.0022451151424059
ACH-USD,2022-01-07,41.92353250985301,-0.0014386183969851,-0.0019023394879094
ACH-USD,2022-02-06,41.17094356860461,-0.0046716006598967,-0.0055237630718855
ACH-USD,2022-07-16,50.74769960801566,-0.0003007778310544,-0.0004381900721817
ACH-USD,2022-10-11,30.75163426971345,-0.0004344573780462,-0.0003744814923446
ACH-USD,2023-01-13,62.95455846376869,4.126544174030619e-06,-0.0001407073671832
ACH-USD,2023-01-27,57.38515477152352,0.0006813799717056,0.0006683006911652
ACH-USD,2023-02-02,67.98046782096068,0.0012077935139378,0.0009187375359709
ACH-USD,2023-02-14,57.52854307307097,0.0013266398076224,0.0015871162389936
ACH-USD,2023-02-18,75.82533317099995,0.0022316437341994,0.0017562291166056
ACH-USD,2023-03-10,43.99600047924593,0.0009736131333559,0.0029789256639952
ACH-USD,2024-03-11,71.23732039870325,0.0030970300715229,0.0026414062490786
ACH-USD,2025-01-24,39.46275395208973,-0.0013652191102432,-0.0012400584344437
ACH-USD,2025-01-28,59.39389070244989,0.0007132826587372,-0.0006250296177866
ACH-USD,2025-02-15,41.47014935525655,-0.0009230271638446,0.0006711205420218
ACT-USD,2020-03-16,30.05240236407424,-0.0008623568534661,-0.0005644771808351
ACT-USD,2020-08-23,67.13029960266468,0.0002625324229968,0.0002817728273337
ACT-USD,2020-09-07,42.47444969436831,6.180498917656568e-05,0.0008260939964014
ACT-USD,2021-02-09,72.83900034737214,0.0006591270126433,0.0004524008602936
ACT-USD,2021-02-13,86.94610705519551,0.0015251620499822,0.0008857221290156
ACT-USD,2021-03-09,50.60223099709676,-0.000160848069989,1.661154179862559e-05
ACT-USD,2021-03-16,60.18193969637923,0.0009496334388372,0.0005283485136654
ACT-USD,2021-03-29,58.339819006064026,0.0011152715697991,0.0011759952337221
ACT-USD,2021-04-02,62.35563088498282,0.0018553046277064,0.0014317043854983
ACT-USD,2021-05-23,29.31948232925687,-0.0030675156074998,-0.0019083157729789
ACT-USD,2021-08-05,64.60672180587977,0.000217615957694,2.076298294170789e-06
ACT-USD,2022-01-04,31.938281979806906,-0.0004439895061537,-0.000331431194802
ACT-USD,2022-01-13,42.8085551097949,-0.0003944169897079,-0.0003901933227194
ACT-USD,2022-01-23,31.68985103458796,-0.0006043391638773,-0.0003629223706969
ACT-USD,2022-02-08,50.97388088706927,-7.556634216075546e-05,-0.000212700763944
ACT-USD,2022-02-13,58.274232081552285,0.0002469417074958,3.796503438808882e-05
ACT-USD,2022-02-17,57.910310819625735,0.0005491847466924,0.0002954149124557
ACT-USD,2022-03-08,44.58933018354862,-1.2197701235933283e-05,0.0003599066462648
ACT-USD,2024-03-10,75.66943607430997,0.0001263726072212,0.00011274381755
ACT-USD,2024-07-10,41.60919663977306,-6.664465416143209e-05,-8.027647776493519e-05
ACT-USD,2024-07-14,43.25729698324391,-4.710603845105863e-05,-6.395445790767203e-05
ACT-USD,2024-07-18,48.15941998592107,-3.375897241541257e-05,-5.112813563393219e-05
ACT-USD,2024-08-02,44.11956825872652,-9.036112032112565e-05,-4.947700026715584e-05
ACT-USD,2024-11-08,37.80048917143748,-5.814594272713302e-05,-5.161429302919907e-05
ACT-USD,2024-11-15,54.22212059367313,0.0004013100265082,0.0002269569602209
ACT-USD,2024-11-25,56.01766360366995,0.0003230804395768,0.0003700630978053
ACT-USD,2024-12-05,49.06870136740565,0.0002401371154356,0.0003176840882202
ACT-USD,2025-01-02,41.99181811991446,-0.0001384651620736,-0.0001115324899583
ACT-USD,2025-02-07,29.01564843022732,-0.0001849729196963,-0.0001113690273902
ACT-USD,2025-02-13,36.35090101902956,-0.0001651947064383,-0.0001430645110497
ACT-USD,2025-03-11,35.32196899747815,-4.2726039003190526e-05,-3.494628145694323e-05
ACT-USD,2025-03-26,37.18071563294577,-3.1066437967441126e-05,-1.3834325884324698e-05
ACT-USD,2025-04-23,41.8068001426277,-7.02356229753951e-05,-6.976200208031556e-05
ACT-USD,2025-05-01,42.076697201182746,1.6615239198086024e-06,-8.630012257498566e-06
AERO-USD,2022-02-25,,,
AERO-USD,2022-05-07,40.10454733386481,-0.0102760815637929,-0.0033194175311621
AERO-USD,2023-08-25,30.58778653254744,-0.000497133454581,-0.000545158661962
AERO-USD,2023-09-05,37.38190986216268,-0.0002627653263896,-0.0002805932059562
AERO-USD,2023-09-13,51.93664690636065,-3.7482312538616655e-05,-0.0001499824303334
AERO-USD,2023-11-02,49.878229072164366,8.535188158707331e-05,0.0001277824214541
AERO-USD,2023-11-09,70.09806651851964,0.000482297042865,0.0003048211333955
AERO-USD,2024-03-09,49.29451112593047,-0.0002241038902733,-0.0002946241041986
AERO-USD,2024-04-12,38.73676833311292,-0.0001899436800073,-1.855819461729829e-05
AERO-USD,2024-05-02,37.44423530925724,-9.47866257678216e-05,3.5543334902156695e-05
AERO-USD,2024-06-23,22.45037887858598,-0.0008366886352817,-0.0009174534698313
AERO-USD,2024-07-15,32.23638549218553,-0.0001969501607221,-0.0002575121685018
AERO-USD,2024-07-21,37.09388548224927,-0.0001273137211747,-0.0001770156325119
AERO-USD,2024-10-25,37.6740671578816,-1.1817261256477429e-05,-9.202593891174236e-06
AERO-USD,2024-11-06,55.4869452737584,1.3566285606356828e-05,9.900808351885842e-06
AERO-USD,2024-11-10,73.35261361050051,3.136009081339302e-05,1.7583854092852623e-05
AERO-USD,2024-11-15,58.041843237440304,6.350888274052184e-05,4.776707282731466e-05
AERO-USD,2024-12-08,40.62007158685836,-2.4515100874389155e-05,-1.426731543496451e-05
AERO-USD,2025-01-14,41.77521127385604,-1.821107719899979e-05,-1.9385727312481683e-05
AERO-USD,2025-04-03,36.42255952243734,-8.106232802027134e-06,-7.263370807453087e-06
AERO-USD,2025-05-24,41.51880137334151,-2.185112868068373e-06,-1.8255454140760967e-06
AERO-USD,2025-05-30,61.85408190090578,1.134507050720112e-05,4.115881302832749e-06
AGI-USD,2023-05-15,24.058206643552296,-0.0325667711123221,-0.0327575769211899
AGI-USD,2023-09-02,41.24158132897283,-0.0026066680713148,-0.002837627981686
AGI-USD,2023-10-04,30.52069472018645,-0.0070755978259855,-0.0058824515486202
AGI-USD,2023-11-12,51.280379338576616,-0.0006912141919647,-0.0015894226665409
AGI-USD,2023-11-21,50.89527101368611,0.0027012279615775,0.0016852278020122
AGI-USD,2023-12-06,51.20808145590426,0.001361182972848,0.0018120402132444
AGI-USD,2023-12-11,54.78442466525959,0.002225824651141,0.0019063532548579
AGI-USD,2023-12-19,67.75840530048161,0.005665303087231,0.0041656442276372
AGI-USD,2024-02-13,61.357994021392685,0.0026830625590719,0.0019140124589236
AGI-USD,2024-02-17,89.8181406270385,0.0098999660484422,0.0047072596163923
