symbol,breakout_date,peak_date,b_vtp_-3,b_vtp_-2,b_vtp_-1,b_vtp_+0,b_vtp_+1,b_vtp_+2,b_vtp_+3,p_vtp_-3,p_vtp_-2,p_vtp_-1,p_vtp_+0,p_vtp_+1,p_vtp_+2
ALGO-USD,2023-12-06,2023-12-14,3968381986.1248364,3970122319.339992,3970593042.398527,3970157839.1019983,3977718384.208169,3996292213.5889263,4024044391.0444565,4025382507.575947,4022145748.691401,4023704570.7914166,4034708186.4248095,4025863149.813337,4026622735.2741566
ALGO-USD,2024-11-13,2024-11-22,4101974443.0634627,4113702680.267391,4108694685.2118063,4101133243.5474453,4100813893.2917094,4245121667.6500425,4280067423.9960065,4385550246.406906,4372823543.224423,4376082883.482892,4476505775.362497,4606247706.297148,4585751348.897426
ALGO-USD,2025-01-13,2025-01-17,5470564608.5666065,5472550447.304715,5466090135.464328,5457503614.996577,5469945163.696098,5579639052.148804,5605817903.765192,5469945163.696098,5579639052.148804,5605817903.765192,5611229903.27183,5593866951.442863,5543616962.729748
AMAPT-USD,2024-11-08,2024-11-11,421571.5906879135,424531.0643123933,424979.69605233375,424949.6499679472,426701.8841567981,428993.8316548901,451199.5959306296,424949.6499679472,426701.8841567981,428993.8316548901,451199.5959306296,441239.1270387535,439127.213747133
AMP-USD,2021-04-15,2021-04-18,12818884.1315281,13035535.55817181,16999638.526909906,17423253.5013043,22708222.273239397,26500679.700867474,27437827.050102524,17423253.5013043,22708222.273239397,26500679.700867474,27437827.050102524,25198458.83730845,24428333.384519786
AMP-USD,2021-05-04,2021-05-08,27464161.241382908,27347663.27527869,27512682.08770247,27130621.00258246,28317330.747040924,30164573.03491108,30120778.80272553,28317330.747040924,30164573.03491108,30120778.80272553,30391707.46790819,29817358.0275263,29682170.884913564
AMP-USD,2021-05-23,2021-05-26,26132875.72495433,24590487.130295616,24262763.279115885,22078157.430046275,22873303.59068323,23234779.73232875,23859080.994007774,22078157.430046275,22873303.59068323,23234779.73232875,23859080.994007774,23294588.16282814,22819094.215787712
AMP-USD,2021-06-07,2021-06-16,23486097.866077967,24269867.841246806,24868483.517283298,24425715.075193938,29122856.19868195,32943024.120678894,49943812.098806694,28516065.329511482,33059272.994174838,90187783.32180148,178165075.52529216,154267252.0570167,133672439.04157895
AMP-USD,2021-07-20,2021-07-28,98364190.23176618,99442377.18893081,98132527.90399641,97692726.96889366,99321959.54485139,99659045.48240253,112653380.81270705,130690501.35185733,157010538.2171207,158260621.46543363,167721237.5381551,165751810.47096395,163703581.19118184
AMP-USD,2021-10-31,2021-11-03,147174816.25657263,147858530.1928329,147267171.13797003,160582522.79472,161535469.96123683,166286645.5604672,301819754.61339027,160582522.79472,161535469.96123683,166286645.5604672,301819754.61339027,258437657.5119605,248704319.07054913
AMP-USD,2021-11-20,2021-11-23,245821754.5915119,244573039.6729076,245533633.93875694,246003471.27151224,245427145.92636436,245017457.33819312,502924835.6649674,246003471.27151224,245427145.92636436,245017457.33819312,502924835.6649674,461063459.09013665,452380301.1569726
AMP-USD,2022-05-11,2022-05-15,457843649.1208459,450386430.5289203,450237502.24721116,446050543.64122933,450244224.4533455,453604425.94013786,453885783.2719646,450244224.4533455,453604425.94013786,453885783.2719646,454268742.89476264,453821751.1550024,454232786.7190042
AMP-USD,2024-11-25,2024-12-04,1975946112.161478,1977871684.515117,1981481448.6666627,1980372785.4883256,1979667849.1593883,1992353357.2230883,2131821452.2741818,2121832919.7501583,2120968421.271821,2161817545.78463,2298441347.3837004,2305625416.041212,2306005477.7410603
AMP-USD,2025-01-14,2025-01-17,2302624982.9559255,2302430655.5250287,2301249876.6104484,2301515961.3393736,2303113199.832412,2330565570.417297,2370699162.205316,2301515961.3393736,2303113199.832412,2330565570.417297,2370699162.205316,2359764107.2902236,2353557683.980217
ANKR-USD,2020-08-03,2020-08-10,75809827.6620409,75517956.94599968,75189775.1326543,77500466.54060374,77395862.55825967,79317962.55093263,86888533.84442295,87363414.10939026,95574655.62403996,126962723.37450182,186017827.43587184,171585650.96659526,176323879.80411977
ANKR-USD,2021-01-17,2021-01-20,222433808.68578574,222494800.18620688,222911551.4172285,223650922.11220482,223882176.2873631,223649171.4890569,256155334.46546802,223650922.11220482,223882176.2873631,223649171.4890569,256155334.46546802,234277063.6397751,234538321.20071238
ANKR-USD,2021-02-01,2021-02-10,247333519.6599279,246210359.3187557,245337526.17624766,245825435.7117294,247375665.94254023,251826560.18208337,276549217.2045533,283339488.09181565,284825975.67451006,290767203.74678075,288464982.23826313,296949996.67676806,298938549.6609152
ANKR-USD,2021-03-09,2021-03-18,401744210.2823491,407677062.0776964,420303787.86028564,425532492.6014861,428241395.56632096,437535281.9859372,726865076.4622936,793488871.2733182,814071288.6251453,803194428.2852962,798976419.3815327,825406548.4832871,806738300.8241872
ANKR-USD,2021-03-20,2021-03-27,803194428.2852962,798976419.3815327,825406548.4832871,806738300.8241872,819109258.5187029,810677085.8922158,1381271917.3578038,1307479536.656921,1850530802.5730405,2003585640.5413074,2878675745.6286182,2691332535.04743,2681200662.207949
ANKR-USD,2021-04-25,2021-05-01,2692432944.628793,2698393274.3667517,2689875974.0981827,2690689579.118145,2711105605.757628,2717131366.510893,2763131781.3482585,2763131781.3482585,2755436901.6629496,2765136702.7483077,2765847580.526449,2762811564.168063,2762086987.6608634
ANKR-USD,2021-06-21,2021-06-30,2698115202.937822,2697812591.545049,2698108540.3726425,2689649330.5593133,2687907931.6394777,2722130670.015746,2728934399.873761,2725271567.609694,2726077109.1714015,2729856601.15817,2730101833.380397,2728987486.149629,2728759036.898521
ANKR-USD,2021-07-24,2021-08-01,2732840119.952352,2733439703.613627,2733583776.409033,2734062885.319601,2734173124.8622537,2766896908.426046,2801023633.644016,2799479240.5245433,2800301306.5939703,2800562005.396789,2855331341.827844,2846023840.9380636,2841036473.072966
ANKR-USD,2021-10-28,2021-11-02,2932664935.628385,2931725374.061643,2921152754.463627,2931347028.8869133,2938177966.4799547,2954318558.7107553,3488142585.0658884,2954318558.7107553,3488142585.0658884,3489456910.343289,3637952175.407719,3621611144.5367064,3616122890.9875946
ANKR-USD,2021-11-23,2021-11-26,3650863410.456151,3647787051.867661,3645602338.037753,3645288460.7221513,3641887193.4452605,3640212979.183683,4520627831.9698,3645288460.7221513,3641887193.4452605,3640212979.183683,4520627831.9698,4497589927.569845,4464864200.071766
ANKR-USD,2022-08-08,2022-08-11,4423198985.470635,4422931018.629517,4423091986.773511,4423150936.402636,4422288087.382923,4428284525.930555,4753844557.492129,4423150936.402636,4422288087.382923,4428284525.930555,4753844557.492129,4733026803.517415,4726227973.98861
ANKR-USD,2023-02-18,2023-02-22,4861204044.913067,4855695408.198074,4862435116.818318,4863179199.71597,4862575087.403674,4870238689.944045,5176144175.064538,4862575087.403674,4870238689.944045,5176144175.064538,5238921042.7111225,5226018760.515073,5199925788.363111
ANKR-USD,2023-03-11,2023-03-17,5172053898.549104,5168281052.779623,5168168130.045557,5168134932.891832,5172360719.834964,5190611603.399762,5199330806.984095,5199330806.984095,5195531138.357058,5196892376.493578,5200812657.233616,5197765456.270665,5198025671.537389
ANKR-USD,2024-03-05,2024-03-13,5286543152.8129635,5291791866.394722,5290300554.075081,5283534087.344767,5295201794.208252,5419695567.920166,5422096650.996689,5423324787.002171,5428237458.57238,5442691286.017725,5444510538.722689,5441675540.609916,5433130195.029409
ANKR-USD,2024-03-23,2024-04-01,5424602736.134886,5423917625.389957,5422647392.010764,5422955776.119747,5423633833.376661,5436691344.782073,5492444836.586748,5489630534.7953825,5490519981.1771965,5524124115.089094,5576044505.837562,5547163569.165611,5543466942.383292
