symbol,breakout_date,market_level,obv_d0,cmf_d0,rvol_d0,obv_d1,cmf_d1,rvol_d1,obv_d2,cmf_d2,rvol_d2,obv_d3,cmf_d3,rvol_d3
LRC-USD,2021-05-23,1.0,1407117392,-0.3878227468881061,0.3943225051138355,1472725922.0,-0.3933494749496538,0.2646014228676649,1516815719.0,-0.3816012066501104,0.417362125868071,1586970414.0,-0.3650109866606995,0.5185397519743711
LRC-USD,2021-06-25,4.0,1576481975,-0.023539804787465,0.8789141080759079,1602624162.0,-0.0207919722720707,0.8327286131589162,1577548465.0,-0.0702544006783729,0.9132610051969072,1549343028.0,-0.106909821660559,1.392858813118441
LRC-USD,2021-06-25,2.0,1576481975,-0.023539804787465,0.8789141080759079,1602624162.0,-0.0207919722720707,0.8327286131589162,1577548465.0,-0.0702544006783729,0.9132610051969072,1549343028.0,-0.106909821660559,1.392858813118441
LRC-USD,2021-06-25,1.0,1576481975,-0.023539804787465,0.8789141080759079,1602624162.0,-0.0207919722720707,0.8327286131589162,1577548465.0,-0.0702544006783729,0.9132610051969072,1549343028.0,-0.106909821660559,1.392858813118441
LRC-USD,2021-06-25,2.0,1576481975,-0.023539804787465,0.8789141080759079,1602624162.0,-0.0207919722720707,0.8327286131589162,1577548465.0,-0.0702544006783729,0.9132610051969072,1549343028.0,-0.106909821660559,1.392858813118441
LRC-USD,2021-08-19,9.0,2377642629,0.149354386966464,0.9550851949134892,2326070619.0,0.1256176225054207,1.1496745690846777,2265164799.0,0.1337525932780862,1.2595271433766724,2329645013.0,0.1965055021983272,2.3137454622350058
LRC-USD,2021-08-19,9.0,2377642629,0.149354386966464,0.9550851949134892,2326070619.0,0.1256176225054207,1.1496745690846777,2265164799.0,0.1337525932780862,1.2595271433766724,2329645013.0,0.1965055021983272,2.3137454622350058
LRC-USD,2021-08-19,8.0,2377642629,0.149354386966464,0.9550851949134892,2326070619.0,0.1256176225054207,1.1496745690846777,2265164799.0,0.1337525932780862,1.2595271433766724,2329645013.0,0.1965055021983272,2.3137454622350058
LRC-USD,2021-08-19,6.0,2377642629,0.149354386966464,0.9550851949134892,2326070619.0,0.1256176225054207,1.1496745690846777,2265164799.0,0.1337525932780862,1.2595271433766724,2329645013.0,0.1965055021983272,2.3137454622350058
LRC-USD,2021-10-27,9.0,4905119212,-0.2243278689215543,1.1294911310186897,4983233746.0,-0.1702154882341255,0.762551212742902,4931911138.0,-0.1642340367789776,0.4467886548413349,4901795114.0,-0.1662633803356677,0.5082227054147074
LRC-USD,2021-10-27,9.0,4905119212,-0.2243278689215543,1.1294911310186897,4983233746.0,-0.1702154882341255,0.762551212742902,4931911138.0,-0.1642340367789776,0.4467886548413349,4901795114.0,-0.1662633803356677,0.5082227054147074
LRC-USD,2021-10-27,8.0,4905119212,-0.2243278689215543,1.1294911310186897,4983233746.0,-0.1702154882341255,0.762551212742902,4931911138.0,-0.1642340367789776,0.4467886548413349,4901795114.0,-0.1662633803356677,0.5082227054147074
LRC-USD,2021-10-27,8.0,4905119212,-0.2243278689215543,1.1294911310186897,4983233746.0,-0.1702154882341255,0.762551212742902,4931911138.0,-0.1642340367789776,0.4467886548413349,4901795114.0,-0.1662633803356677,0.5082227054147074
LRC-USD,2021-10-31,6.0,6130079960,-0.0033675756176982,1.2098948719864115,5984920290.0,-0.0675007382996199,2.32663725708671,5716588650.0,0.011075093134839,2.728896911754024,5433657522.0,-0.0168948152831355,5.742996832002479
LRC-USD,2021-10-31,8.0,6130079960,-0.0033675756176982,1.2098948719864115,5984920290.0,-0.0675007382996199,2.32663725708671,5716588650.0,0.011075093134839,2.728896911754024,5433657522.0,-0.0168948152831355,5.742996832002479
LRC-USD,2021-10-31,8.0,6130079960,-0.0033675756176982,1.2098948719864115,5984920290.0,-0.0675007382996199,2.32663725708671,5716588650.0,0.011075093134839,2.728896911754024,5433657522.0,-0.0168948152831355,5.742996832002479
LRC-USD,2021-10-31,9.0,6130079960,-0.0033675756176982,1.2098948719864115,5984920290.0,-0.0675007382996199,2.32663725708671,5716588650.0,0.011075093134839,2.728896911754024,5433657522.0,-0.0168948152831355,5.742996832002479
LRC-USD,2021-11-04,7.0,11429396123,0.1367677349149491,1.2112373636327012,12153254525.0,0.1792669182540355,2.7395121548375627,13723537130.0,0.3342274383036159,9.078758592352402,9218785309.0,0.3659381896764604,11.33539884810021
LRC-USD,2021-11-04,6.0,11429396123,0.1367677349149491,1.2112373636327012,12153254525.0,0.1792669182540355,2.7395121548375627,13723537130.0,0.3342274383036159,9.078758592352402,9218785309.0,0.3659381896764604,11.33539884810021
LRC-USD,2021-11-04,8.0,11429396123,0.1367677349149491,1.2112373636327012,12153254525.0,0.1792669182540355,2.7395121548375627,13723537130.0,0.3342274383036159,9.078758592352402,9218785309.0,0.3659381896764604,11.33539884810021
LRC-USD,2021-11-04,8.0,11429396123,0.1367677349149491,1.2112373636327012,12153254525.0,0.1792669182540355,2.7395121548375627,13723537130.0,0.3342274383036159,9.078758592352402,9218785309.0,0.3659381896764604,11.33539884810021
LRC-USD,2021-11-08,7.0,17718170969,0.1449309281021943,4.184289388328758,13999844661.0,0.1399105346680612,0.968356704557128,13317367080.0,0.1071756680155286,1.1271896491516282,12557100751.0,0.0882537151924671,1.739123317287495
LRC-USD,2021-11-08,6.0,17718170969,0.1449309281021943,4.184289388328758,13999844661.0,0.1399105346680612,0.968356704557128,13317367080.0,0.1071756680155286,1.1271896491516282,12557100751.0,0.0882537151924671,1.739123317287495
LRC-USD,2021-11-08,8.0,17718170969,0.1449309281021943,4.184289388328758,13999844661.0,0.1399105346680612,0.968356704557128,13317367080.0,0.1071756680155286,1.1271896491516282,12557100751.0,0.0882537151924671,1.739123317287495
LRC-USD,2021-11-08,8.0,17718170969,0.1449309281021943,4.184289388328758,13999844661.0,0.1399105346680612,0.968356704557128,13317367080.0,0.1071756680155286,1.1271896491516282,12557100751.0,0.0882537151924671,1.739123317287495
LRC-USD,2021-11-21,,31141977291,-0.0394231113578033,0.2140602749872872,31585872013.0,0.0179752152123909,0.2753990535252904,32193383284.0,0.0259632240927611,0.715028590535238,30632609381.0,0.0082434178539798,0.3971920519577819
LRC-USD,2022-01-22,1.0,30641154427,-0.3154656702199293,1.540883064740413,31076366018.0,-0.2934130308470908,1.3885406770356392,31446638792.0,-0.2399838919468353,0.5257033600248121,31580276189.0,-0.1767038127750443,1.5544864818722086
LRC-USD,2022-01-22,1.0,30641154427,-0.3154656702199293,1.540883064740413,31076366018.0,-0.2934130308470908,1.3885406770356392,31446638792.0,-0.2399838919468353,0.5257033600248121,31580276189.0,-0.1767038127750443,1.5544864818722086
LRC-USD,2022-01-22,1.0,30641154427,-0.3154656702199293,1.540883064740413,31076366018.0,-0.2934130308470908,1.3885406770356392,31446638792.0,-0.2399838919468353,0.5257033600248121,31580276189.0,-0.1767038127750443,1.5544864818722086
LRC-USD,2022-01-22,1.0,30641154427,-0.3154656702199293,1.540883064740413,31076366018.0,-0.2934130308470908,1.3885406770356392,31446638792.0,-0.2399838919468353,0.5257033600248121,31580276189.0,-0.1767038127750443,1.5544864818722086
LRC-USD,2022-02-03,8.0,31836721740,-0.0770600027220984,0.7632228748874831,32097175115.0,-0.090123724153774,0.8449549642991349,32381454691.0,-0.0823483393584989,0.6372467672884694,32592353183.0,-0.0301785267992473,0.5875631323671607
LRC-USD,2022-02-03,8.0,31836721740,-0.0770600027220984,0.7632228748874831,32097175115.0,-0.090123724153774,0.8449549642991349,32381454691.0,-0.0823483393584989,0.6372467672884694,32592353183.0,-0.0301785267992473,0.5875631323671607
