symbol,breakout_date,peak_date,b_bbw_-3,b_bbw_-2,b_bbw_-1,b_bbw_+0,b_bbw_+1,b_bbw_+2,b_bbw_+3,p_bbw_-3,p_bbw_-2,p_bbw_-1,p_bbw_+0,p_bbw_+1,p_bbw_+2
KAS-USD,2023-06-12,2023-06-21,0.3163673107426671,0.3211288544594925,0.31760389204165923,0.2606907569643664,0.25774983885926894,0.25617255045670206,0.3107587794579021,0.4488989921308429,0.456349787672604,0.47716145467879184,0.5073353219001422,0.5249706177234071,0.5851330606771646
KAS-USD,2023-11-06,2023-11-15,0.19395798131442538,0.197857494168261,0.2505805735509613,0.3014865339805026,0.34113351861242874,0.3951366546048524,0.4809701706247107,0.7039543067155544,0.7746725906316682,0.7263991635583151,0.6564556695609047,0.7058741038034102,0.7463446492538833
KAS-USD,2024-02-06,2024-02-15,0.16611438135523837,0.15913246203711387,0.13862425383409202,0.10588257049849613,0.14414419148898253,0.20479647475323937,0.28261691745312495,0.43307368122717366,0.474992276265656,0.4800042218707389,0.503394716008803,0.500654800828507,0.4996100861245605
KAS-USD,2024-06-01,2024-06-04,0.251761055561364,0.2547237808055576,0.2567106676408961,0.2545978106550484,0.2401669419153805,0.2574891752353595,0.31597428412187445,0.2545978106550484,0.2401669419153805,0.2574891752353595,0.31597428412187445,0.3608551983694448,0.3903209251537357
KAS-USD,2024-11-07,2024-11-11,0.3554119395437379,0.3308806601721307,0.30303116471373137,0.3090905899716676,0.3099228558417481,0.26184070473386584,0.2952222142630172,0.3099228558417481,0.26184070473386584,0.2952222142630172,0.3382077463258735,0.3857343220521179,0.41756755167770965
KAVA-USD,2020-08-03,2020-08-09,0.5543002658106257,0.5292976944549358,0.46582591736425905,0.4083697869609762,0.3527000977944602,0.3210952642527384,0.3422719951402784,0.3422719951402784,0.3963943477717254,0.4631585067919975,0.5546389951667229,0.6615551857874257,0.7641433927155818
KAVA-USD,2021-01-03,2021-01-09,0.41820305363660754,0.42424658408415583,0.43237226078756585,0.39422925881691473,0.3481154593519952,0.32584185042086133,0.3320664233782444,0.3320664233782444,0.36938892932113176,0.38338085180915654,0.388741204129246,0.4387784940055599,0.5234265048715147
KAVA-USD,2021-02-02,2021-02-11,0.49263930413415025,0.47158074571037384,0.36662314544258146,0.3174207526194578,0.2559046333697644,0.2862125013256428,0.3604063365679525,0.4962312860681987,0.5296595099926735,0.593523785767063,0.6087623667860984,0.6735930278562006,0.7599389159282902
KAVA-USD,2021-02-28,2021-03-03,0.7998226155414964,0.7387155793484017,0.6889681322842381,0.762635356941608,0.702467984942684,0.640142299767358,0.5530369830358608,0.762635356941608,0.702467984942684,0.640142299767358,0.5530369830358608,0.6036512219033616,0.5849919768540184
KAVA-USD,2021-05-23,2021-06-01,0.8254323570028088,1.0654809164355539,1.3114428133512022,1.6410783781434541,1.4908324208244934,1.3967548280975874,1.2406964919236823,1.2893668158306064,1.1982265850409195,0.9733790594428355,0.9593848854097395,0.6806763344861565,0.6026551873608782
KAVA-USD,2021-07-20,2021-07-27,0.30356993481433675,0.2694961521348439,0.32854031098090464,0.4207689925645486,0.399665986954152,0.37722802740153116,0.33706690373739984,0.33333196961274814,0.328627986572148,0.32838738711243903,0.35592381088894276,0.41112822177158087,0.44650874103890575
