symbol,breakout_date,market_level,macd_d0,macd_d1,macd_d2,macd_d3,macd_signal_d0,macd_signal_d1,macd_signal_d2,macd_signal_d3
A-USD,2020-09-20,8.0,-0.0002188238057404,-0.0002696733504792,-0.0003418533530111,-0.000416994305288,-0.0003690883840523,-0.0004066545286303,-0.0004408998231681,-0.0004656614407073
A-USD,2020-09-20,7.0,-0.0002188238057404,-0.0002696733504792,-0.0003418533530111,-0.000416994305288,-0.0003690883840523,-0.0004066545286303,-0.0004408998231681,-0.0004656614407073
A-USD,2020-09-20,6.0,-0.0002188238057404,-0.0002696733504792,-0.0003418533530111,-0.000416994305288,-0.0003690883840523,-0.0004066545286303,-0.0004408998231681,-0.0004656614407073
A-USD,2020-09-20,5.0,-0.0002188238057404,-0.0002696733504792,-0.0003418533530111,-0.000416994305288,-0.0003690883840523,-0.0004066545286303,-0.0004408998231681,-0.0004656614407073
A-USD,2020-09-25,8.0,0.0004576971562877,0.0003289725058953,8.352438693184959e-05,-0.0001919752145097,-1.9967484706104267e-06,-0.0001169202246601,-0.000228393407299,-0.0003063728558568
A-USD,2020-09-25,7.0,0.0004576971562877,0.0003289725058953,8.352438693184959e-05,-0.0001919752145097,-1.9967484706104267e-06,-0.0001169202246601,-0.000228393407299,-0.0003063728558568
A-USD,2020-09-25,6.0,0.0004576971562877,0.0003289725058953,8.352438693184959e-05,-0.0001919752145097,-1.9967484706104267e-06,-0.0001169202246601,-0.000228393407299,-0.0003063728558568
A-USD,2020-09-25,5.0,0.0004576971562877,0.0003289725058953,8.352438693184959e-05,-0.0001919752145097,-1.9967484706104267e-06,-0.0001169202246601,-0.000228393407299,-0.0003063728558568
A-USD,2020-10-04,7.0,0.0012198571349168,0.0015771503538828,0.0015467697204914,0.0014785708270357,0.0011319210928509,0.0011099370823344,0.0009931337644473,0.0008547247754363
A-USD,2020-10-04,7.0,0.0012198571349168,0.0015771503538828,0.0015467697204914,0.0014785708270357,0.0011319210928509,0.0011099370823344,0.0009931337644473,0.0008547247754363
A-USD,2020-10-04,4.0,0.0012198571349168,0.0015771503538828,0.0015467697204914,0.0014785708270357,0.0011319210928509,0.0011099370823344,0.0009931337644473,0.0008547247754363
A-USD,2020-10-04,2.0,0.0012198571349168,0.0015771503538828,0.0015467697204914,0.0014785708270357,0.0011319210928509,0.0011099370823344,0.0009931337644473,0.0008547247754363
A-USD,2020-10-25,7.0,5.441313595313298e-05,0.0002710858601378,0.0002459796244406,0.000210458847955,0.0002660326712349,0.0003189375550554,0.0003309004787848,0.0003521306923708
A-USD,2020-10-25,7.0,5.441313595313298e-05,0.0002710858601378,0.0002459796244406,0.000210458847955,0.0002660326712349,0.0003189375550554,0.0003309004787848,0.0003521306923708
A-USD,2020-10-25,7.0,5.441313595313298e-05,0.0002710858601378,0.0002459796244406,0.000210458847955,0.0002660326712349,0.0003189375550554,0.0003309004787848,0.0003521306923708
A-USD,2020-10-25,7.0,5.441313595313298e-05,0.0002710858601378,0.0002459796244406,0.000210458847955,0.0002660326712349,0.0003189375550554,0.0003309004787848,0.0003521306923708
A-USD,2020-11-07,,-0.000254735172163,-6.639127009797682e-05,-0.0001186739150801,-0.0001309375754289,-8.541174686046387e-05,-4.3080890534824445e-05,-3.725329564403635e-05,-1.6898140785012425e-05
A-USD,2020-11-13,9.0,-0.0006615677206617,-0.0006423621951699,-0.0006038218860889,-0.0005353602917828,-0.0004434189700956,-0.0003888817824541,-0.0003255116792751,-0.0002559341275717
A-USD,2020-11-13,9.0,-0.0006615677206617,-0.0006423621951699,-0.0006038218860889,-0.0005353602917828,-0.0004434189700956,-0.0003888817824541,-0.0003255116792751,-0.0002559341275717
A-USD,2020-11-13,8.0,-0.0006615677206617,-0.0006423621951699,-0.0006038218860889,-0.0005353602917828,-0.0004434189700956,-0.0003888817824541,-0.0003255116792751,-0.0002559341275717
A-USD,2020-11-13,7.0,-0.0006615677206617,-0.0006423621951699,-0.0006038218860889,-0.0005353602917828,-0.0004434189700956,-0.0003888817824541,-0.0003255116792751,-0.0002559341275717
A-USD,2020-11-21,9.0,0.0007131028598071,0.0008863346829687,0.0006683384114683,0.0004467600975865,0.0002723940510421,0.0001622168488509,-1.8812609678536628e-05,-0.0001906003649652
