symbol,breakout_date,start_price,max_window_price,max_gain,market_level
PROM-USD,2021-08-31,18.11780548095703,25.02460479736328,0.38121610940495726,9
PROM-USD,2021-12-17,11.369613647460938,15.103300094604492,0.32839167300793565,4
PROM-USD,2022-05-12,2.8321189880371094,4.799880027770996,0.6948016831375106,1
PROM-USD,2022-06-17,3.071084976196289,4.00975513458252,0.30564773220597335,3
PROM-USD,2022-06-26,3.700912952423096,5.912373065948486,0.5975444821196031,9
PROM-USD,2022-07-26,5.7632670402526855,8.284767150878906,0.4375122813180747,6
PROM-USD,2023-03-13,4.620276927947998,6.684902191162109,0.44686179971707296,5
PROM-USD,2023-08-31,3.9352080821990967,5.486844062805176,0.39429579025945294,4
PROM-USD,2024-01-22,5.181694030761719,7.87200403213501,0.51919507122612,3
PROM-USD,2024-02-11,7.203347206115723,12.652518272399902,0.7564776360714325,7
PROM-USD,2024-03-05,10.165155410766602,14.43767261505127,0.4203100721666643,8
PROM-USD,2024-10-22,5.512176036834717,8.535040855407715,0.5483977286597749,8
PROM-USD,2025-01-10,5.531021118164063,7.98606014251709,0.4438672302824146,1
PWR-USD,2020-01-10,7.999999979801942e-06,7.999999797903001e-05,8.999999772626325,7
PWR-USD,2020-01-14,9.000000318337698e-06,1.8999999156221747e-05,1.1111109426861723,9
PWR-USD,2020-01-18,9.000000318337698e-06,1.700000029813964e-05,0.8888888552039012,9
PWR-USD,2020-01-22,9.999999747378752e-06,1.700000029813964e-05,0.700000072759578,9
PWR-USD,2020-01-28,9.000000318337698e-06,1.2999999853491316e-05,0.4444443770744687,7
PWR-USD,2020-02-05,9.999999747378752e-06,2.200000017182901e-05,1.2000000727595777,9
PWR-USD,2020-02-09,9.999999747378752e-06,3.099999958067201e-05,2.100000036379789,9
PWR-USD,2020-02-14,1.4000000192027072e-05,1.8999999156221747e-05,0.35714277825811386,9
PWR-USD,2020-02-22,9.999999747378752e-06,9.300000237999484e-05,8.300000472937256,2
PWR-USD,2020-02-27,9.000000318337698e-06,1.8000000636675395e-05,1.0,1
PWR-USD,2020-03-03,9.000000318337698e-06,1.2000000424450263e-05,0.3333333333333333,1
PWR-USD,2020-03-08,7.999999979801942e-06,1.4000000192027072e-05,0.7500000284217093,2
PWR-USD,2020-03-25,4.999999873689376e-06,7.000000096013537e-06,0.40000005456968346,6
PWR-USD,2020-04-01,4.999999873689376e-06,7.000000096013537e-06,0.40000005456968346,6
PWR-USD,2020-04-05,3.999999989900971e-06,1.4999999621068127e-05,2.7499999147348717,7
PWR-USD,2020-04-09,7.000000096013537e-06,1.2999999853491316e-05,0.8571428107400666,8
PWR-USD,2020-04-17,9.999999747378752e-06,1.4000000192027072e-05,0.4000000545696833,6
PWR-USD,2020-04-21,4.999999873689376e-06,1.4999999621068127e-05,2.0,6
PWR-USD,2020-04-26,6.000000212225132e-06,7.999999979801942e-06,0.33333328280585167,8
PWR-USD,2020-04-30,3.999999989900971e-06,6.000000212225132e-06,0.500000056843419,7
PWR-USD,2020-05-05,3.999999989900971e-06,6.000000212225132e-06,0.500000056843419,7
PWR-USD,2020-05-10,3.999999989900971e-06,9.000000318337698e-06,1.2500000852651285,4
PWR-USD,2020-05-15,3.999999989900971e-06,4.3000000005122274e-05,9.75000002842171,5
PWR-USD,2020-05-20,4.999999873689376e-06,9.000000318337698e-06,0.8000001091393669,7
PWR-USD,2020-05-26,3.999999989900971e-06,7.000000096013537e-06,0.7500000284217095,4
PWR-USD,2020-06-02,1.999999994950485e-06,4.999999873689376e-06,1.4999999431565816,8
PWR-USD,2020-06-09,4.999999873689376e-06,1.2000000424450263e-05,1.400000145519156,8
PWR-USD,2020-06-13,7.000000096013537e-06,1.1000000085914508e-05,0.5714285621480134,6
PWR-USD,2020-07-12,4.999999873689376e-06,9.000000318337698e-06,0.8000001091393669,9
PWR-USD,2020-07-21,4.999999873689376e-06,9.999999747378752e-06,1.0,7
PWR-USD,2020-07-31,7.000000096013537e-06,1.1000000085914508e-05,0.5714285621480134,7
PWR-USD,2020-08-17,9.000000318337698e-06,1.2000000424450263e-05,0.3333333333333333,8
PWR-USD,2020-08-21,7.999999979801942e-06,1.2000000424450263e-05,0.500000056843419,3
PWR-USD,2020-08-26,7.999999979801942e-06,1.2000000424450263e-05,0.500000056843419,2
PWR-USD,2020-09-05,9.000000318337698e-06,0.0001009999978123,10.222221582204869,2
