symbol,breakout_date,b_stochrsi_-3,b_stochrsi_-2,b_stochrsi_-1,b_stochrsi_+0,b_stochrsi_+1,b_stochrsi_+2,b_stochrsi_+3,p_stochrsi_-3,p_stochrsi_-2,p_stochrsi_-1,p_stochrsi_+0,p_stochrsi_+1,p_stochrsi_+2
LAYER-USD,2021-09-02,0.0,0.12625287756325682,0.15078639645896363,0.1007940648289872,0.19523989057620666,0.0,0.2457187092001259,0.0,0.12625287756325682,0.15078639645896363,0.1007940648289872,0.19523989057620666,0.0
LAYER-USD,2021-10-15,0.5885704608626794,0.4812606707245374,0.6933018585818882,0.3450596106680347,0.2246658005555425,0.4997779087508407,0.9257137642731764,0.5885704608626794,0.4812606707245374,0.6933018585818882,0.3450596106680347,0.2246658005555425,0.4997779087508407
LAYER-USD,2021-10-27,0.4299535137891917,0.557700707343865,0.44841507688041454,0.0918842897226544,0.13341187779021574,0.5092379076677344,0.4299725704427209,0.4299535137891917,0.557700707343865,0.44841507688041454,0.0918842897226544,0.13341187779021574,0.5092379076677344
LAYER-USD,2021-12-24,0.4328886681898476,0.4356634279890301,1.0,0.9358284264308118,0.9555128227039659,1.0,1.0,0.4328886681898476,0.4356634279890301,1.0,0.9358284264308118,0.9555128227039659,1.0
LAYER-USD,2022-03-24,0.8194191932984822,1.0,1.0,0.6992406749118452,0.8637308679410801,0.8286957290348821,1.0,0.8194191932984822,1.0,1.0,0.6992406749118452,0.8637308679410801,0.8286957290348821
LAYER-USD,2023-01-19,0.9146609131633656,0.49984942105005237,0.11992872287794692,0.2604786109045523,0.44697845613337756,0.7484434228721657,0.9834418863294248,0.9146609131633656,0.49984942105005237,0.11992872287794692,0.2604786109045523,0.44697845613337756,0.7484434228721657
LAYER-USD,2024-01-02,0.92971892440207,0.9525219693273864,1.0,0.7995700631535493,0.3847397521416522,0.4068116200593156,1.0,0.92971892440207,0.9525219693273864,1.0,0.7995700631535493,0.3847397521416522,0.4068116200593156
LAYER-USD,2024-04-03,1.0,0.7450008097376262,1.0,0.641434703112944,1.0,1.0,1.0,1.0,0.7450008097376262,1.0,0.641434703112944,1.0,1.0
LAYER-USD,2025-01-27,0.730737976477692,0.8238714534550957,1.0,0.6070569955632875,0.0,0.9315307913094376,1.0,0.730737976477692,0.8238714534550957,1.0,0.6070569955632875,0.0,0.9315307913094376
LAYER-USD,2025-02-08,0.18511198884584934,0.22220593028222743,0.08084210006415593,0.0479157387527456,0.06782171199949967,0.12110476737265316,0.48790731375328644,0.18511198884584934,0.22220593028222743,0.08084210006415593,0.0479157387527456,0.06782171199949967,0.12110476737265316
LAYER-USD,2025-05-07,0.936481104177345,1.0,1.0,0.9193489920836312,1.0,1.0,1.0,0.936481104177345,1.0,1.0,0.9193489920836312,1.0,1.0
LBTC-USD,2020-01-11,,,,,,,,,,,,,
LBTC-USD,2020-11-12,0.6530063121393113,0.8479806839894241,0.610331056602134,0.8335915827784611,0.751181990197322,0.0,1.0,0.6530063121393113,0.8479806839894241,0.610331056602134,0.8335915827784611,0.751181990197322,0.0
LBTC-USD,2020-11-18,1.0,0.6716264579513503,1.0,0.37344048331071883,0.3888982038251599,0.5792596749522941,0.4704767145474857,1.0,0.6716264579513503,1.0,0.37344048331071883,0.3888982038251599,0.5792596749522941
LBTC-USD,2021-01-04,0.3965167393428957,0.7352726010728831,0.3534559115415929,0.6422772146858794,0.4722218653497613,0.9829232422053784,1.0,0.3965167393428957,0.7352726010728831,0.3534559115415929,0.6422772146858794,0.4722218653497613,0.9829232422053784
LBTC-USD,2021-02-10,0.2755471317063063,0.41948672422169436,1.0,1.0,1.0,1.0,1.0,0.2755471317063063,0.41948672422169436,1.0,1.0,1.0,1.0
LBTC-USD,2021-08-06,0.9328746681379921,0.8834352369449056,0.878140145935079,0.9953039142186061,0.8932103978838238,0.9749025186931249,1.0,0.9328746681379921,0.8834352369449056,0.878140145935079,0.9953039142186061,0.8932103978838238,0.9749025186931249
LBTC-USD,2021-08-14,0.4982401080706024,0.4882579674805125,0.47874235878523286,0.39492465757622,0.3891487583416078,0.4107221759557055,0.5643351105942829,0.4982401080706024,0.4882579674805125,0.47874235878523286,0.39492465757622,0.3891487583416078,0.4107221759557055
LBTC-USD,2021-12-06,0.9320498294561059,0.6575748916924159,0.49301254855503673,0.6343171771606604,0.1284134587634696,0.2092350561051399,1.0,0.9320498294561059,0.6575748916924159,0.49301254855503673,0.6343171771606604,0.1284134587634696,0.2092350561051399
LBTC-USD,2022-02-06,1.0,1.0,1.0,1.0,0.8447097607568692,1.0,1.0,1.0,1.0,1.0,1.0,0.8447097607568692,1.0
LBTC-USD,2022-04-06,0.0,0.5276482819748035,0.9818225215778139,1.0,1.0,1.0,1.0,0.0,0.5276482819748035,0.9818225215778139,1.0,1.0,1.0
LBTC-USD,2022-11-13,0.0,0.0,0.00022623657165757408,0.05312705132456724,0.05039588906273923,0.32813182827127035,0.7159017857824652,0.0,0.0,0.00022623657165757408,0.05312705132456724,0.05039588906273923,0.32813182827127035
LBTC-USD,2022-11-25,0.7043479190348804,1.0,0.9026093500946241,0.9746662198446577,1.0,1.0,1.0,0.7043479190348804,1.0,0.9026093500946241,0.9746662198446577,1.0,1.0
LBTC-USD,2023-01-10,0.8399850071221615,1.0,0.5800754375601203,0.6336605385354291,0.6171478090953665,0.6880709828559927,0.8798893372171163,0.8399850071221615,1.0,0.5800754375601203,0.6336605385354291,0.6171478090953665,0.6880709828559927
LBTC-USD,2023-03-29,0.5177447977966348,0.28345675195841724,0.2747669280670555,0.5625407537604353,0.3424908235064523,0.6798278015083402,1.0,0.5177447977966348,0.28345675195841724,0.2747669280670555,0.5625407537604353,0.3424908235064523,0.6798278015083402
LBTC-USD,2023-05-05,0.8477136687487546,1.0,1.0,0.92094722446441,0.9306905894674135,0.9880141151321733,1.0,0.8477136687487546,1.0,1.0,0.92094722446441,0.9306905894674135,0.9880141151321733
LBTC-USD,2023-07-19,0.823848863218865,0.5986654979984845,0.5295872573315288,0.8074609413378858,1.0,0.7298225908543962,1.0,0.823848863218865,0.5986654979984845,0.5295872573315288,0.8074609413378858,1.0,0.7298225908543962
LBTC-USD,2023-08-08,0.0,0.10151205121862257,0.25710656544769517,0.22484785220228135,0.11955478502399684,1.0,1.0,0.0,0.10151205121862257,0.25710656544769517,0.22484785220228135,0.11955478502399684,1.0
LBTC-USD,2023-12-25,0.6245608280061831,0.6551066967122264,0.6313828465768356,0.7977841952620011,0.7464662467170186,0.7647790677745414,1.0,0.6245608280061831,0.6551066967122264,0.6313828465768356,0.7977841952620011,0.7464662467170186,0.7647790677745414
LBTC-USD,2024-03-21,0.5122930838042461,0.6775996797867757,1.0,1.0,0.9417111167351697,0.8309228140328837,1.0,0.5122930838042461,0.6775996797867757,1.0,1.0,0.9417111167351697,0.8309228140328837
LBTC-USD,2024-04-03,0.7614963942222926,0.73923639239317,0.7611388369115973,0.8024634613557724,0.6277445783452169,0.6683619513697073,0.7802810406230798,0.7614963942222926,0.73923639239317,0.7611388369115973,0.8024634613557724,0.6277445783452169,0.6683619513697073
LBTC-USD,2024-05-02,0.6345591933871151,0.6163990176142595,0.0,0.039791518550527094,0.0,0.10689964692614119,1.0,0.6345591933871151,0.6163990176142595,0.0,0.039791518550527094,0.0,0.10689964692614119
LBTC-USD,2024-07-06,0.0,0.05061333409523794,0.0,0.32169722477536433,0.34588774467153005,0.536931482846712,1.0,0.0,0.05061333409523794,0.0,0.32169722477536433,0.34588774467153005,0.536931482846712
LCX-USD,2020-01-05,,,,,,,,,,,,,
LCX-USD,2020-01-11,,,,,,,,,,,,,
LCX-USD,2020-01-27,,,,0.01542556527254216,0.0,0.0,0.3607140202801793,,,,0.01542556527254216,0.0,0.0
LCX-USD,2020-02-01,0.0,0.3607140202801793,0.2400889655440843,0.43834766249247076,0.5597578127594259,0.735402618991246,1.0,0.0,0.3607140202801793,0.2400889655440843,0.43834766249247076,0.5597578127594259,0.735402618991246
LCX-USD,2020-02-05,0.5597578127594259,0.735402618991246,1.0,0.669580818611241,0.6575104108492206,1.0,0.6543074996251721,0.5597578127594259,0.735402618991246,1.0,0.669580818611241,0.6575104108492206,1.0
LCX-USD,2020-02-09,0.6575104108492206,1.0,0.6543074996251721,0.6600402509932607,0.7036295774462922,0.6998875709653019,0.7564537298827176,0.6575104108492206,1.0,0.6543074996251721,0.6600402509932607,0.7036295774462922,0.6998875709653019
LCX-USD,2020-02-13,0.7036295774462922,0.6998875709653019,0.7564537298827176,0.6433413213133075,1.0,1.0,1.0,0.7036295774462922,0.6998875709653019,0.7564537298827176,0.6433413213133075,1.0,1.0
LCX-USD,2020-03-16,0.8847584232730751,0.6320881583748542,0.7838846876313704,0.0,0.06820359319185555,0.9527368572165005,1.0,0.8847584232730751,0.6320881583748542,0.7838846876313704,0.0,0.06820359319185555,0.9527368572165005
LCX-USD,2020-04-13,0.6576664758077917,0.24764971793768162,0.3132611688994738,0.4110472007363901,0.03293756000164205,0.3964311912942246,1.0,0.6576664758077917,0.24764971793768162,0.3132611688994738,0.4110472007363901,0.03293756000164205,0.3964311912942246
LCX-USD,2020-04-17,0.03293756000164205,0.3964311912942246,1.0,0.6244474495110167,0.7734887656495494,1.0,0.5054982913874582,0.03293756000164205,0.3964311912942246,1.0,0.6244474495110167,0.7734887656495494,1.0
LCX-USD,2020-04-21,0.7734887656495494,1.0,0.5054982913874582,0.621558660948593,0.5470015998776273,0.43432255705000006,0.796032102608486,0.7734887656495494,1.0,0.5054982913874582,0.621558660948593,0.5470015998776273,0.43432255705000006
LCX-USD,2020-05-04,0.2535008090098008,0.058508141489541775,0.0,0.17369171759229113,0.46573242186143016,0.33566438000320675,0.6709717015789064,0.2535008090098008,0.058508141489541775,0.0,0.17369171759229113,0.46573242186143016,0.33566438000320675
LCX-USD,2020-05-09,0.33566438000320675,0.6709717015789064,0.4291691192182781,0.09717630618191905,0.34228151075304264,0.14237923619981352,0.7666764210930335,0.33566438000320675,0.6709717015789064,0.4291691192182781,0.09717630618191905,0.34228151075304264,0.14237923619981352
LCX-USD,2020-05-21,0.5248403005701493,0.5471705088082954,0.5824547314628187,0.5741384632127053,0.6339152322108444,1.0,1.0,0.5248403005701493,0.5471705088082954,0.5824547314628187,0.5741384632127053,0.6339152322108444,1.0
LCX-USD,2020-07-16,0.5892485037543304,0.5674068474334968,0.4887260357354971,0.0,0.1144933657897325,0.33535390059061937,0.7067239315603552,0.5892485037543304,0.5674068474334968,0.4887260357354971,0.0,0.1144933657897325,0.33535390059061937
LCX-USD,2020-08-05,0.0,0.0,0.0,0.09184887375438851,0.0,0.37630627639628494,0.9912667479476961,0.0,0.0,0.0,0.09184887375438851,0.0,0.37630627639628494
LCX-USD,2020-09-08,0.7578781596607899,0.7607195839205526,0.8897880350030655,0.9669749637208346,1.0,1.0,0.7684858765139387,0.7578781596607899,0.7607195839205526,0.8897880350030655,0.9669749637208346,1.0,1.0
LCX-USD,2020-11-25,0.0,0.2516506169026976,0.27744028172921675,0.10122542932810344,0.18297142744858097,0.39843482238223676,0.9416494979866753,0.0,0.2516506169026976,0.27744028172921675,0.10122542932810344,0.18297142744858097,0.39843482238223676
LCX-USD,2020-12-27,0.7211306313404644,0.6370638287137366,0.564557142367046,0.6352735617581216,0.6982070465037956,0.9949020060063745,1.0,0.7211306313404644,0.6370638287137366,0.564557142367046,0.6352735617581216,0.6982070465037956,0.9949020060063745
LCX-USD,2020-12-31,0.6982070465037956,0.9949020060063745,1.0,0.44052751098503684,0.5975296365311628,1.0,1.0,0.6982070465037956,0.9949020060063745,1.0,0.44052751098503684,0.5975296365311628,1.0
LCX-USD,2021-01-12,0.2875396305926663,0.13051375235293586,0.0,0.0,0.0,0.06431999090092137,0.05552675716732132,0.2875396305926663,0.13051375235293586,0.0,0.0,0.0,0.06431999090092137
LCX-USD,2021-01-16,0.0,0.06431999090092137,0.05552675716732132,0.0,0.0,0.227163358080905,0.4621095691740359,0.0,0.06431999090092137,0.05552675716732132,0.0,0.0,0.227163358080905
