symbol,breakout_date,peak_date,b_vs_-3,b_vs_-2,b_vs_-1,b_vs_+0,b_vs_+1,b_vs_+2,b_vs_+3,p_vs_-3,p_vs_-2,p_vs_-1,p_vs_+0,p_vs_+1,p_vs_+2
AGIX-USD,2023-03-11,2023-03-17,-25.25148164917479,-16.765773877549684,1.6467880311311855,-27.84409562221095,-15.115218635000327,25.038148645106894,152.7286235544978,152.7286235544978,188.84423202895002,36.241879320537265,53.04050059207339,31.686552750937746,-12.186207448600738
AGIX-USD,2024-02-14,2024-02-23,-24.205635738011622,-2.6643805405333287,9.62627737060986,7.073170387789918,34.65749578229631,436.18420281333766,334.5021044825559,96.57966560626964,144.79564059414312,221.20003850478543,167.22648494747182,58.62598689232588,10.912915249415068
AGIX-USD,2024-06-18,2024-06-26,-46.197187019943655,-46.33822148213835,27.72308055682693,21.41224611505994,58.436259197197174,97.89483645881056,-1.822731596281546,-37.52647263350525,31.073975049091416,37.43268859072897,20.997098666738424,-23.923470519798173,-55.75037710246783
AGIX-USD,2024-08-19,2024-08-23,-82.9757944246874,-87.30675578635108,-81.367379979119,32.636110562305866,-9.8745121866868,125.34531326104377,160.48958770353394,-9.8745121866868,125.34531326104377,160.48958770353394,311.50715951716654,134.97026676745173,185.27794328849598
AIOZ-USD,2021-10-31,2021-11-09,12.203079552877005,-3.9781474238178127,17.790275680163692,81.36025295527418,-1.7085739877499395,-6.669002574162597,675.5651547231429,-45.10841211350047,-53.0392042870945,-56.11650791651288,-41.87695467521735,63.95565050764289,29.52364210094689
AIOZ-USD,2022-03-31,2022-04-03,11.078975706283622,-27.494003465892092,93.4489893934254,11.289645364172873,-17.545731498175687,-45.96004460194032,308.665933761813,11.289645364172873,-17.545731498175687,-45.96004460194032,308.665933761813,216.97124090824042,-26.527582812371598
AIOZ-USD,2023-11-21,2023-11-30,95.2997117375896,790.5090514605799,167.49830220686616,-15.925527691379282,-45.35484323225999,7.481436935626973,31.657624182485034,-7.520508612379473,-36.75923150980345,295.8103151788992,146.1156280495806,86.01340703134773,6.316471251220901
AIOZ-USD,2024-02-15,2024-02-24,2.1810604888358176,10.067814205074122,62.55182753222832,18.719396263126818,421.6519008916878,33.032371414106045,105.30662351860256,141.11658599682323,207.0208489432175,15.90924996169305,103.72641976547472,-15.043653687766467,-16.96043455184899
AIOZ-USD,2024-03-04,2024-03-09,2.154959842046722,-21.932437820541683,-46.78447294897799,-17.382754863649318,-10.70776580109387,15.870505616541664,245.03728956861224,15.870505616541664,245.03728956861224,309.1009414819724,509.67544933782597,130.40986493625635,21.194791678772518
AIOZ-USD,2024-11-04,2024-11-12,2.0880877530052855,-20.474050717032988,12.386745194644933,-6.904094424702512,10.352777492711596,154.41555186845872,189.54558236334628,12.048963826452574,35.94737752485122,136.81498637668864,408.2480248022793,153.00335075250882,50.97714501017776
AIOZ-USD,2024-11-28,2024-12-01,-47.09528927490931,-42.19839484378528,-26.577854527439758,14.125955541837264,2.0389689093570196,166.9612977840305,289.11765050301324,14.125955541837264,2.0389689093570196,166.9612977840305,289.11765050301324,136.00843666124254,47.70131058901157
AIOZ-USD,2025-01-01,2025-01-06,-25.739049035426632,-15.404833980415633,-9.102526340406513,-24.878829280248382,23.22025583745091,38.70137454686209,116.61646237915222,38.70137454686209,116.61646237915222,162.8419514542463,44.29577757624734,70.53899628168443,49.04789406790777
