symbol,breakout_date,pct_gain,days_to_peak,strength
AGI-USD,2023-12-19,49.33224487732616,3,moderate
AGI-USD,2024-02-13,279.3231301039989,10,strong
AGI-USD,2024-02-17,154.1214320517596,8,strong
AGI-USD,2024-02-21,71.06394167029437,7,strong
AGI-USD,2024-02-27,109.94303859519016,10,strong
AGI-USD,2024-03-04,164.19962017149396,5,strong
AGI-USD,2024-03-08,47.37247626159047,1,moderate
AGI-USD,2024-06-18,51.18861742112555,4,strong
AGI-USD,2024-09-21,51.48741316301816,6,strong
AGI-USD,2025-03-16,54.61017600058858,10,strong
AGIX-USD,2020-08-07,71.47661830786369,9,strong
AGIX-USD,2020-08-19,49.9719354502968,4,moderate
AGIX-USD,2021-01-01,67.75730203657419,5,strong
AGIX-USD,2021-01-21,31.068463144733165,3,moderate
AGIX-USD,2021-01-31,108.34812984770473,9,strong
AGIX-USD,2021-02-06,203.037764316465,7,strong
AGIX-USD,2021-02-10,119.55433725111249,3,strong
AGIX-USD,2021-02-23,39.88377256457591,6,moderate
AGIX-USD,2021-03-24,69.1918040402378,8,strong
AGIX-USD,2021-05-23,84.85514019517252,8,strong
AGIX-USD,2021-05-28,748.6287410907795,3,strong
AGIX-USD,2021-08-26,128.11639282160655,10,strong
AGIX-USD,2021-08-30,60.363173581236815,6,strong
AGIX-USD,2021-09-20,34.31459780482768,5,moderate
AGIX-USD,2022-03-21,85.80533067033207,5,strong
AGIX-USD,2022-09-13,31.209938311508527,3,moderate
AGIX-USD,2022-10-10,102.3846142542358,3,strong
AGIX-USD,2023-01-05,274.5174909818339,10,strong
AGIX-USD,2023-01-09,214.9675062939196,10,strong
AGIX-USD,2023-01-31,229.78580822747023,7,strong
AGIX-USD,2023-02-04,85.29075678574367,3,strong
AGIX-USD,2023-02-26,30.127667781555644,3,moderate
AGIX-USD,2023-03-11,74.67834573591264,6,strong
AGIX-USD,2024-02-14,139.8103513459874,9,strong
AGIX-USD,2024-02-18,65.866452006257,7,strong
AGIX-USD,2024-02-27,81.32865698257021,10,strong
AGIX-USD,2024-03-04,57.42281022413136,5,strong
AGIX-USD,2024-06-18,44.08473988633824,8,moderate
AGIX-USD,2024-08-08,60.00112298206511,6,strong
AGIX-USD,2024-08-19,48.51158299302735,4,moderate
AGIX-USD,2025-05-07,32.59183545208757,3,moderate
AIOZ-USD,2021-05-23,79.45283110795418,10,strong
