market_level,metric,offset,yellow_thresh,green_thresh
5,EMA50_PCT,d1,-11.315814859097037,22.09643500334209
5,EMA50_PCT,d2,-12.492082125082629,22.42911113718541
5,EMA50_PCT,d3,-14.515183875592069,19.610722123489637
5,EMA5_PCT,d0,-6.199335298241031,0.3789151566005894
5,EMA5_PCT,d1,-2.021138515162144,3.9307203873433134
5,EMA5_PCT,d2,-1.4228642353209884,3.597113507140365
5,EMA5_PCT,d3,-2.271071441331586,3.206738862426933
5,MACD,d0,-0.0014680907585866,0.0044022048900437
5,MACD,d1,-0.0015033184194638,0.0041676064557359
5,MACD,d2,-0.0017271196197306,0.0033980078062279
5,MACD,d3,-0.0019462631836118,0.0034497364791957
5,MACD_SIGNAL,d0,-0.0011060278278337,0.0042659033783366
5,MACD_SIGNAL,d1,-0.00103530599526,0.0045444184480379
5,MACD_SIGNAL,d2,-0.0008986029319879,0.0035842447848999
5,MACD_SIGNAL,d3,-0.0007454354264526,0.0030897810615655
5,OBV,d0,46977.0,260896332.6
5,OBV,d1,50162.0,260955923.76
5,OBV,d2,49995.0,260955911.28
5,OBV,d3,50164.0,260872069.0
5,RNG,d0,0.4248812397797061,0.8538852907541036
5,RNG,d1,0.4059801210033074,0.7939828730888878
5,RNG,d2,0.4144864463762836,0.7789141014851192
5,RNG,d3,0.4253899885473114,0.7611571849241628
5,RSI,d0,44.1457886101593,52.83121942120701
5,RSI,d1,46.85379703559546,56.32962321773441
5,RSI,d2,45.95454882376478,56.27373572395402
5,RSI,d3,45.93315775741512,55.8265857028652
5,RVOL,d0,0.584819293571087,0.983106805989684
5,RVOL,d1,0.6401286920194258,1.075582380185544
5,RVOL,d2,0.5879519616376617,1.0755876670862656
5,RVOL,d3,0.5966468372589204,1.0906743138533814
5,STD,d0,0.0044957034117011,0.0504345321085898
5,STD,d1,0.0044856466133331,0.0468824723997217
5,STD,d2,0.0040696986003565,0.0457917927323366
5,STD,d3,0.0040637557488122,0.0450438081721504
6,ADX,d0,24.091429063639463,39.12188280996065
6,ADX,d1,24.22466157400228,39.10666524147879
6,ADX,d2,24.15123832209439,38.80351306471103
6,ADX,d3,23.703397463490457,38.2350121529687
6,ATR,d0,0.004280275090085,0.0734102919998247
6,ATR,d1,0.0039942877407317,0.0706706920598787
6,ATR,d2,0.0039190825611547,0.0692236816939387
6,ATR,d3,0.0037952066714241,0.0698283130841668
6,BBW,d0,0.5089748972929614,0.9615724399965786
6,BBW,d1,0.490871977579993,0.8500450723533047
6,BBW,d2,0.4717371231391959,0.8232446062495488
6,BBW,d3,0.4765670242470703,0.8252339995990466
6,CMF,d0,-0.1232643978344622,0.0559167855952918
6,CMF,d1,-0.1019220858205919,0.0727520733785548
6,CMF,d2,-0.1011601467140647,0.0588966468795162
6,CMF,d3,-0.1079726511771337,0.0645310612829275
6,EMA100_PCT,d0,-27.6314602404333,9.55317356344026
6,EMA100_PCT,d1,-15.779437195902592,21.190529959472848
6,EMA100_PCT,d2,-16.16918947229104,19.51389349286422
6,EMA100_PCT,d3,-17.432027476716414,21.365755954246534
6,EMA10_PCT,d0,-8.318075201199997,1.159031923696975
6,EMA10_PCT,d1,-3.7134538547233777,5.891526778349224
6,EMA10_PCT,d2,-2.963898676393633,5.576616392112007
6,EMA10_PCT,d3,-2.4475493224594733,5.83727362400856
6,EMA200_PCT,d0,-35.41630725570844,14.725251383316184
6,EMA200_PCT,d1,-23.77455521611388,25.44901514278389
6,EMA200_PCT,d2,-26.24095947210727,27.44738145801053
6,EMA200_PCT,d3,-25.55834238664981,28.250652888782355
6,EMA50_PCT,d0,-20.122390692869708,5.577385725882966
6,EMA50_PCT,d1,-11.970443226587353,14.94088595542226
6,EMA50_PCT,d2,-12.191232529239116,14.857832463378344
6,EMA50_PCT,d3,-12.135498623908116,15.701239802364976
6,EMA5_PCT,d0,-6.074022035282596,0.5544186673679212
6,EMA5_PCT,d1,-2.51929793673895,3.635234859861578
6,EMA5_PCT,d2,-2.077582674126705,3.3472099856443003
6,EMA5_PCT,d3,-1.3686287206607424,4.06203353442173
6,MACD,d0,-0.0008315365838684,0.0017728545972797
6,MACD,d1,-0.000577173703118,0.0023142552171824
6,MACD,d2,-0.0008153510848831,0.0017611408723036
6,MACD,d3,-0.0008605570753425,0.0016780354857089
6,MACD_SIGNAL,d0,-0.0008531904677836,0.0016193574221128
6,MACD_SIGNAL,d1,-0.0008097696105496,0.0015065713342432
6,MACD_SIGNAL,d2,-0.0008054544065498,0.0014727580879093
6,MACD_SIGNAL,d3,-0.0008478844660773,0.001535044681541
6,OBV,d0,23737.0,260955785.0
6,OBV,d1,23737.0,260955936.0
6,OBV,d2,45885.20000000001,260955933.8
6,OBV,d3,23959.0,260955892.4
6,RNG,d0,0.4162703987585534,0.7914749505337183
6,RNG,d1,0.4120214900526718,0.7303350919538133
6,RNG,d2,0.390108338033755,0.7097892756233775
6,RNG,d3,0.3917928629205115,0.6813940728217672
6,RSI,d0,44.06177540233342,51.66729079044533
6,RSI,d1,46.41303074639498,55.52038881942856
6,RSI,d2,46.61049533723711,54.964306873422345
6,RSI,d3,46.28691378401658,55.40708491179394
6,RVOL,d0,0.6117542632914413,1.129476112119322
6,RVOL,d1,0.6371896974223521,1.112356029350376
6,RVOL,d2,0.615862621254036,1.052213833704999
6,RVOL,d3,0.5661826179895858,1.0698744853885818
6,STD,d0,0.0036407935258854,0.0657653473374641
6,STD,d1,0.0035500190753998,0.0670169851479202
6,STD,d2,0.0034096496166997,0.0628160292553944
6,STD,d3,0.0031279760936861,0.0636118450892948
7,ADX,d0,24.25261297011325,38.76621838524485
7,ADX,d1,23.9403692949546,38.12165210050745
7,ADX,d2,23.841679663521514,37.51206659704834
7,ADX,d3,23.66586927683753,36.4474082374393
7,ATR,d0,0.002387551047965,0.0455581056296628
7,ATR,d1,0.0024679780583878,0.0446129150899098
7,ATR,d2,0.0023493420975329,0.044846236838975
7,ATR,d3,0.0023169832573492,0.0429175237508859
7,BBW,d0,0.4279684378631633,0.7734806582877592
7,BBW,d1,0.4056343631745824,0.7418737339407172
7,BBW,d2,0.3954600529599975,0.719401651577351
7,BBW,d3,0.3920738759857175,0.7152142359146314
7,CMF,d0,-0.0481766693296804,0.1112540946353954
7,CMF,d1,-0.0433633384725074,0.1226151103511852
7,CMF,d2,-0.0505755442477796,0.1295390960886794
7,CMF,d3,-0.0647655393421726,0.1230284943396299
7,EMA100_PCT,d0,-16.48803296951141,19.851821741637
7,EMA100_PCT,d1,-6.422533364210251,27.680164634795275
7,EMA100_PCT,d2,-8.457069792793934,24.58665321694962
7,EMA100_PCT,d3,-8.448826017008486,24.080465412424967
7,EMA10_PCT,d0,-2.717161431073254,5.46259182084344
7,EMA10_PCT,d1,0.0692620735998089,9.368772271515835
7,EMA10_PCT,d2,-3.569896576619124e-06,8.027332894537322
7,EMA10_PCT,d3,-0.2648541858612003,8.00772386851599
7,EMA200_PCT,d0,-25.908286367548765,19.87158241429132
7,EMA200_PCT,d1,-19.57157434749682,31.817282957123098
7,EMA200_PCT,d2,-20.34691675565577,26.3289102158515
7,EMA200_PCT,d3,-21.30672727641845,23.737120749657752
7,EMA50_PCT,d0,-5.943374955209198,16.089511377180806
7,EMA50_PCT,d1,0.2463685152554125,24.37302368866487
7,EMA50_PCT,d2,-1.4386194817449705,20.10815442167332
7,EMA50_PCT,d3,-2.360861022831974,19.89016842692961
7,EMA5_PCT,d0,-2.691050566734929,2.3728737480099653
7,EMA5_PCT,d1,-0.3486987716637131,5.083913457561383
7,EMA5_PCT,d2,-0.3869929740872229,4.752819275374738
7,EMA5_PCT,d3,-0.0619642136328449,4.582401332484659
7,MACD,d0,-1.1765964441079468e-06,0.0062040359612703
7,MACD,d1,-5.680420701833274e-07,0.0062005040099807
7,MACD,d2,-1.0987745990125856e-05,0.0047412832871766
7,MACD,d3,-6.065101265982893e-05,0.0040900377466989
7,MACD_SIGNAL,d0,-3.019954555550425e-05,0.0036967110279175
7,MACD_SIGNAL,d1,-5.784426197981453e-05,0.0031059348146894
