feature,built_in,permutation
obv__b_obv_+3,0.00012584211,-4.710012745154923e-05
ema_pct__p_ema10_pct_-2,0.0001256321,-9.098635237936303e-05
std__b_std_pct_+2,0.00012560688,-4.010558930448438e-05
stochrsi__b_stochrsi_+3,0.0001213727,0.00015945914743586975
macd_slope__b_macd_slope_-3,0.00011943052,7.136473290636491e-05
obv__p_obv_+0,0.00011652277,4.019270470301261e-06
macd__p_macd_signal_+1,0.000112772424,-1.1489163045474982e-05
std__b_std_pct_-3,0.00011232248,-5.862412526479455e-05
stochrsi__b_stochrsi_-1,0.000110612586,6.077303310848547e-05
macd_slope__p_macd_slope_-3,0.000110049274,0.00010036346983046673
macd__b_macd_+2,0.000107673965,-2.9578473488500735e-06
stochrsi__p_stochrsi_-2,0.000101820064,-0.0001616561361565183
std__b_std_pct_-2,0.000100127465,-0.00032050245885265614
macd__b_macd_-3,9.634042e-05,8.898703655835227e-07
macd__b_macd_signal_-1,9.080857e-05,1.770912429078786e-05
obv__p_obv_+1,8.969902e-05,1.975177344359924e-05
adx__b_adx_-1,8.899345e-05,0.00011030782946194195
rng__p_rng_+0,8.7671666e-05,0.00010049185177889442
ema_pct__b_ema50_pct_+1,8.6196225e-05,5.795944165665201e-06
stochrsi__p_stochrsi_-1,8.567923e-05,8.639227195461618e-05
std__b_std_pct_+1,8.11137e-05,-8.780908505259254e-05
bbw__p_bbw_-1,8.096725e-05,7.704440334460605e-05
rng__b_rng_+1,7.991278e-05,-3.324175873976598e-05
ema_pct__p_ema100_pct_+2,7.7112425e-05,-0.00010477078198201095
macd__p_macd_-2,7.679179e-05,-4.908800065568375e-05
ema_pct__b_ema200_pct_-2,7.624765e-05,7.959227125243773e-05
rsi__rsi_b_+2,6.795387e-05,-1.4441793078612264e-05
bbw__b_bbw_-3,6.6481865e-05,9.502958122796779e-05
ema_pct__b_ema200_pct_-3,6.4876214e-05,-0.0001646491245472781
std__p_std_pct_-2,6.416726e-05,-4.929519365930446e-05
ema_pct__b_ema100_pct_-3,6.268898e-05,1.830724052078736e-05
ema_pct__b_ema200_pct_+0,6.250017e-05,-0.00016059819651692564
obv__p_obv_-1,6.110856e-05,-4.359806204978778e-06
macd__b_macd_+0,6.0651808e-05,2.5243414192899215e-05
macd__b_macd_-2,5.9977127e-05,-6.2675057287409075e-06
obv__p_obv_+3,5.9467737e-05,2.4881705749846274e-05
ema_pct__b_ema200_pct_+2,5.8397225e-05,-3.934489892992721e-05
ema_pct__p_ema200_pct_-1,5.5962577e-05,-5.0178475845064076e-05
ema_pct__p_ema50_pct_+1,4.969715e-05,-1.3942943143940845e-05
vol_vtp__b_vtp_+3,4.927353e-05,-4.501406846100231e-05
adx__p_adx_+1,4.6510584e-05,-0.00015317182842188303
ema_pct__p_ema100_pct_-2,4.4491444e-05,-1.2805609898025594e-05
macd__p_macd_-3,4.0503866e-05,2.413190037100499e-05
vol_vs__p_vs_-1,3.933984e-05,4.0455809940942444e-07
ema_pct__b_ema50_pct_+2,3.7455167e-05,4.864669189812432e-05
obv__b_obv_+0,3.5909317e-05,2.5203540138885038e-05
atr__p_atr_-2,3.4687822e-05,9.864816981841607e-07
vol_vtp__p_vtp_+0,3.3172404e-05,-1.2913971028649662e-05
bbw__b_bbw_-1,2.9128629e-05,1.5816656011979902e-05
