symbol,date,regime,entry_price,exit_pct,exit_price,bars_held,return,win
NEXO-USD,2021-02-17,8,1.823760986328125,0.45,2.3322880268096924,5,0.2788342575007112,False
NEXO-USD,2021-05-23,1,1.4739350080490112,0.45,2.137205761671066,1,0.44999999999999973,True
NEXO-USD,2021-10-20,7,2.054630994796753,0.45,2.7211170196533203,5,0.3243823472654743,False
NXM-USD,2021-05-23,1,80.7693099975586,0.45,92.43683624267578,5,0.14445494514525214,False
NXM-USD,2022-08-22,2,40.48930358886719,0.45,48.69029235839844,5,0.20254704434546422,False
OETH-USD,2025-05-07,4,1811.25341796875,0.45,2484.61328125,5,0.3717645783859427,False
OHM-USD,2021-12-18,5,344.5951232910156,0.45,433.4515686035156,5,0.25785752411086627,False
OKT-USD,2021-12-24,9,45.09038543701172,0.45,65.381058883667,3,0.44999999999999996,True
OKT-USD,2023-02-16,4,23.840734481811523,0.45,34.56906499862671,4,0.44999999999999996,True
OKT-USD,2023-12-07,8,13.962786674499512,0.45,20.24604067802429,3,0.44999999999999996,True
OM-USD,2021-03-05,5,0.2598400115966797,0.45,0.3767680168151855,3,0.44999999999999996,True
OM-USD,2021-03-11,7,0.3779689967632293,0.45,0.5480550453066825,3,0.44999999999999996,True
OM-USD,2021-04-24,3,0.24269999563694,0.45,0.351914993673563,3,0.44999999999999996,True
OM-USD,2021-08-02,9,0.1346780061721801,0.45,0.19528310894966114,3,0.44999999999999996,True
OM-USD,2021-08-31,9,0.2051019966602325,0.45,0.2973978951573371,3,0.44999999999999996,True
OM-USD,2022-07-04,5,0.038672998547554,0.45,0.0560758478939533,3,0.44999999999999996,True
OM-USD,2023-12-18,6,0.0238979998975992,0.45,0.03465209985151884,3,0.44999999999999996,True
OM-USD,2023-12-28,9,0.0440629981458187,0.45,0.0611450001597404,5,0.38767225864640054,False
OM-USD,2024-01-18,5,0.0669739991426467,0.45,0.09711229875683772,3,0.44999999999999996,True
OM-USD,2024-01-31,4,0.1084410026669502,0.45,0.15723945386707777,3,0.44999999999999996,True
OM-USD,2024-02-05,6,0.1599700003862381,0.45,0.23195650056004524,3,0.44999999999999996,True
OM-USD,2024-03-13,9,0.3263050019741058,0.45,0.47314225286245337,3,0.44999999999999996,True
OM-USD,2024-03-23,4,0.5509269833564758,0.45,0.7988441258668899,3,0.44999999999999996,True
OM-USD,2024-11-12,7,1.5295939445495603,0.45,2.2179112195968624,3,0.44999999999999996,True
OM-USD,2024-11-16,8,2.5857601165771484,0.45,3.749352169036865,1,0.44999999999999996,True
OM-USD,2025-01-24,6,3.503864049911499,0.45,4.652341842651367,5,0.32777464432984393,False
OM-USD,2025-02-12,2,5.789934158325195,0.45,7.243262767791748,5,0.2510095226863416,False
OM-USD,2025-05-07,4,0.3583729863166809,0.45,0.4274550080299377,5,0.19276570598491372,False
ONT-USD,2021-02-07,9,0.693103015422821,0.45,1.0049993723630906,4,0.44999999999999996,True
ONT-USD,2021-03-25,3,1.171043038368225,0.45,1.6980124056339263,3,0.44999999999999996,True
ONT-USD,2021-04-24,3,1.342576026916504,0.45,1.6799579858779907,5,0.2512944907383401,False
ONT-USD,2021-05-03,9,1.9328960180282595,0.45,2.802699226140976,3,0.44999999999999996,True
ONT-USD,2021-05-23,1,0.9228879809379578,0.45,1.0887600183486938,5,0.17973149595268922,False
ONT-USD,2023-12-28,9,0.2500959932804107,0.45,0.3626391902565955,3,0.44999999999999996,True
ONT-USD,2024-11-30,9,0.2887080013751983,0.45,0.3469739854335785,5,0.20181631191668647,False
OP-USD,2022-10-22,1,0.7481150031089783,0.45,1.0847667545080184,4,0.44999999999999996,True
OP-USD,2022-11-01,9,1.0031189918518066,0.45,1.2884390354156494,5,0.2844328996673944,False
OP-USD,2023-01-11,9,1.280019998550415,0.45,1.8560289978981017,4,0.44999999999999996,True
OP-USD,2023-01-18,7,1.6655009984970093,0.45,2.4149764478206635,3,0.44999999999999996,True
OP-USD,2023-01-30,5,2.127363920211792,0.45,3.084677684307098,3,0.44999999999999996,True
OP-USD,2023-03-11,2,1.899898052215576,0.45,2.754852175712585,3,0.44999999999999996,True
OP-USD,2023-06-18,3,1.0986109972000122,0.45,1.3860019445419312,5,0.26159482116452626,False
OP-USD,2023-12-19,5,2.109541893005371,0.45,3.058835744857788,3,0.44999999999999996,True
OP-USD,2024-11-20,7,1.648926019668579,0.45,2.39094272851944,5,0.44999999999999996,True
OP-USD,2025-05-07,4,0.5954909920692444,0.45,0.8634619385004043,3,0.44999999999999996,True
ORCA-USD,2022-06-22,4,0.4285809993743896,0.45,0.621442449092865,3,0.4500000000000002,True
ORCA-USD,2023-01-11,9,0.4638809859752655,0.45,0.6726274296641349,3,0.44999999999999996,True
ORCA-USD,2023-11-25,7,2.4928619861602783,0.45,3.6146498799324034,4,0.44999999999999996,True
ORCA-USD,2023-12-05,7,2.7200469970703125,0.45,3.944068145751953,3,0.44999999999999996,True
ORCA-USD,2023-12-18,6,6.510714054107666,0.45,7.860857963562012,5,0.20737263197767497,False
ORCA-USD,2024-01-14,4,4.530301094055176,0.45,6.568936586380005,4,0.44999999999999996,True
ORCA-USD,2024-02-21,9,3.456149101257324,0.45,4.491045951843262,5,0.299436401690381,False
ORCA-USD,2024-04-19,1,2.385071039199829,0.45,3.458353006839752,3,0.44999999999999996,True
ORCA-USD,2024-07-17,7,1.5571529865264893,0.45,2.2578718304634093,3,0.44999999999999996,True
ORCA-USD,2024-08-05,1,1.8631880283355715,0.45,2.7016226410865785,1,0.44999999999999996,True
ORCA-USD,2024-11-04,1,2.2853500843048096,0.45,3.313757622241974,3,0.44999999999999996,True
ORCA-USD,2024-12-03,9,3.41841197013855,0.45,4.956697356700897,3,0.44999999999999996,True
ORCA-USD,2025-03-18,6,1.5796469449996948,0.45,2.2904880702495576,3,0.44999999999999996,True
ORCA-USD,2025-04-08,1,1.779099941253662,0.45,2.57969491481781,3,0.44999999999999996,True
