symbol,breakout_date,peak_date,b_rvol_-3,b_rvol_-2,b_rvol_-1,b_rvol_+0,b_rvol_+1,b_rvol_+2,b_rvol_+3,p_rvol_-3,p_rvol_-2,p_rvol_-1,p_rvol_+0,p_rvol_+1,p_rvol_+2
LCX-USD,2024-11-24,2024-11-27,0.6946419274223284,2.5319392006294215,4.16954686778734,5.1700572651503025,4.057857781408383,3.0564425753406614,8.323008156852056,5.1700572651503025,4.057857781408383,3.0564425753406614,8.323008156852056,3.7560680627497467,1.9936049259424955
LCX-USD,2025-04-22,2025-04-25,0.9825901125450629,0.510578496503313,1.3350803108932212,1.8989839444471046,1.274155680177061,1.3396766535948075,4.095039961998631,1.8989839444471046,1.274155680177061,1.3396766535948075,4.095039961998631,1.9432262327539853,0.7115859565560732
LDO-USD,2021-07-27,2021-08-05,1.71289914667946,1.5549846197390085,1.51189535366185,1.4012951851629514,1.3387029903888084,1.3411738267519209,1.7536802689097466,1.8737293113581017,1.7817309296691646,2.1019501391379953,2.192555405014816,2.0447759819936224,1.8914468583941138
LDO-USD,2021-08-16,2021-08-20,1.3216439684086356,1.2521256135882428,1.1856015375793445,1.1053715495683751,0.8926105107280302,1.290782356291819,1.4097616734574738,0.8926105107280302,1.290782356291819,1.4097616734574738,1.4230599965204682,1.282892566066225,1.1241816529899644
LDO-USD,2021-09-07,2021-09-11,0.9076890769076996,0.8619318994664195,0.8803178661332954,0.7782298857597801,0.9168503647437078,1.0109027456514512,1.1103946265998892,0.9168503647437078,1.0109027456514512,1.1103946265998892,1.0911554192882038,1.0555884788653358,1.0090729585314946
LDO-USD,2021-11-03,2021-11-12,0.038999328935125206,0.039801776674404446,0.054422820278103926,0.0503694616715154,0.08443470828880953,0.24236587748442828,0.1268712664485522,0.7382538603367214,1.6671262872091057,1.6920593516410731,0.7391182258627764,0.8452031492191329,2.852970453338552
LDO-USD,2021-11-16,2021-11-19,0.8452031492191329,2.852970453338552,0.8199615540532627,0.43777005371941674,0.42698551228103676,0.374116352363576,0.87397171882743,0.43777005371941674,0.42698551228103676,0.374116352363576,0.87397171882743,0.38083340660149995,0.19760936353649833
LDO-USD,2021-12-13,2021-12-16,1.8417390665980364,0.8703530222078866,0.37326898173507195,0.7797197166030683,0.7738970525926302,1.5818976050742055,1.1220266114960786,0.7797197166030683,0.7738970525926302,1.5818976050742055,1.1220266114960786,0.5506656494558119,0.5817477347330677
LDO-USD,2021-12-29,2022-01-01,0.5123709595987311,0.7648548496905361,1.3946307046663913,0.6026459231113414,0.9356750541781604,1.078360114700111,1.2016067337179095,0.6026459231113414,0.9356750541781604,1.078360114700111,1.2016067337179095,0.8680287847097707,1.3765588678218368
LDO-USD,2022-02-26,2022-03-05,0.8715533283187544,1.621577514393285,1.1149765151110922,0.9135959674099975,0.79089840273961,1.6085244911128587,1.2931760194841844,1.2825333825541083,1.6560609603977923,1.5720183811525748,0.5765092716622238,0.926012381312483,1.10267527481352
LDO-USD,2022-03-31,2022-04-04,0.9281419804545199,1.5161771916842997,0.7363031225487545,0.9872898832917028,1.1217631539328787,1.380261942987697,0.9614933386898902,1.1217631539328787,1.380261942987697,0.9614933386898902,1.5789949127891827,1.3390531720624193,1.3696304459809154
LDO-USD,2022-07-05,2022-07-14,1.1130164029195726,1.1623552945236932,0.9943102130914054,2.314383233845743,0.952292162078676,1.184039888490069,2.4769610761933185,0.5581171445845784,0.6295203058918605,6.03711199910262,1.5366542566508117,4.591764710744275,2.337256775883451
LDO-USD,2022-07-25,2022-08-03,1.0274542873744272,1.0093002066071075,1.0200821915791451,0.8911252017283763,0.7139097633341551,1.798500210284048,4.321290379702803,0.6195514197191891,0.67236091183196,1.4314602548384343,1.8309666776364621,1.3750153102251201,1.0884656702687066
LDO-USD,2023-01-05,2023-01-14,3.787008122706004,2.356279648403965,3.676878863630242,2.245681084631339,3.079611431163925,1.2438324744021372,4.857402134177403,1.5334708194751074,2.5095334900983737,2.0094976270309157,2.2464240151572294,1.9465224179108231,1.1642780702677413
LDO-USD,2024-11-03,2024-11-06,1.1006608273790701,1.0569454749022291,0.6350909341834321,0.9606576570557742,0.9932885400731372,0.9465528383701062,4.027116432811791,0.9606576570557742,0.9932885400731372,0.9465528383701062,4.027116432811791,3.0932260593173386,1.817403400407779
LDO-USD,2024-11-22,2024-12-01,0.8804792951710585,0.8275625973728921,1.3886523011145946,1.0247787437944584,1.6648510104002856,1.4864707215042923,2.235355445148074,1.0565769562989114,0.6878482517568726,0.9137521585802373,0.8183036831193085,1.3002111577381286,1.7470674299312903
LDO-USD,2025-01-12,2025-01-15,0.8478407107226564,0.8905316669349321,0.5421248439434557,0.6172060527085531,1.1941916727449402,1.0431933134788183,1.2279097729090933,0.6172060527085531,1.1941916727449402,1.0431933134788183,1.2279097729090933,1.324153804832447,0.8411634675608499
LDO-USD,2025-05-06,2025-05-10,0.6106657583155594,0.7290543139940365,0.8505308429668962,1.0005238882856267,0.9419739922242635,1.6578009787434516,2.132119159348344,0.9419739922242635,1.6578009787434516,2.132119159348344,1.4048357248186099,1.2185899745001292,1.5973358793928225
