symbol,breakout_date,b_vtp_-3,b_vtp_-2,b_vtp_-1,b_vtp_+0,b_vtp_+1,b_vtp_+2,b_vtp_+3,p_vtp_-3,p_vtp_-2,p_vtp_-1,p_vtp_+0,p_vtp_+1,p_vtp_+2
ACH-USD,2023-01-13,800703324.328401,795133643.3522675,875451590.247514,861971162.5200205,872037240.7435981,841301113.308496,2926332303.923267,800703324.328401,795133643.3522675,875451590.247514,861971162.5200205,872037240.7435981,841301113.308496
ACH-USD,2023-01-27,2029449268.855585,2362016956.208918,2165069518.4382477,1952273112.0024593,1747965430.7687497,1895551859.9137666,2916480712.1941566,2029449268.855585,2362016956.208918,2165069518.4382477,1952273112.0024593,1747965430.7687497,1895551859.9137666
ACH-USD,2023-02-02,2916480712.1941566,4518606876.897908,4220867291.1103506,3985925279.87545,3869379395.9044857,3834438691.6160555,4269353828.764398,2916480712.1941566,4518606876.897908,4220867291.1103506,3985925279.87545,3869379395.9044857,3834438691.6160555
ACH-USD,2023-02-14,2360964713.665582,2359324970.1002383,2207449080.617852,2009221301.9676652,1989825418.9766252,3760419246.0967855,3927733288.2956467,2360964713.665582,2359324970.1002383,2207449080.617852,2009221301.9676652,1989825418.9766252,3760419246.0967855
ACH-USD,2023-02-18,1989825418.9766252,3760419246.0967855,3927733288.2956467,3671510328.555607,4153948512.9476366,5956966895.16908,6355856841.190355,1989825418.9766252,3760419246.0967855,3927733288.2956467,3671510328.555607,4153948512.9476366,5956966895.16908
ACH-USD,2023-03-10,2373093009.496558,2393440608.9855413,2540281849.954627,2608415607.18078,2545158230.8106585,2445383548.2844257,3186390645.0205517,2373093009.496558,2393440608.9855413,2540281849.954627,2608415607.18078,2545158230.8106585,2445383548.2844257
ACH-USD,2024-03-11,1841066823.7249207,1658082901.6568406,1519515034.284311,1524129650.9333985,1580783836.952449,1708740951.0301695,1891162849.1361394,1841066823.7249207,1658082901.6568406,1519515034.284311,1524129650.9333985,1580783836.952449,1708740951.0301695
ACH-USD,2025-01-24,1060821625.4534197,963098547.179102,948529438.8374151,915156078.4763187,844913213.101359,1031281861.2787373,5272008374.640209,1060821625.4534197,963098547.179102,948529438.8374151,915156078.4763187,844913213.101359,1031281861.2787373
ACH-USD,2025-01-28,844913213.101359,1031281861.2787373,5272008374.640209,5930889072.523474,6820381536.452776,7133219416.687148,7124368629.423827,844913213.101359,1031281861.2787373,5272008374.640209,5930889072.523474,6820381536.452776,7133219416.687148
ACH-USD,2025-02-15,3560912000.9005513,3275591045.4249516,2978703295.67192,2681990903.0884857,3452056716.4030895,3940069527.2149534,5346241961.373953,3560912000.9005513,3275591045.4249516,2978703295.67192,2681990903.0884857,3452056716.4030895,3940069527.2149534
ACT-USD,2020-03-16,230274992.10267973,211362967.59835672,195131263.4241282,185223473.25480837,231031405.00697535,386155805.73154175,374564089.74287444,230274992.10267973,211362967.59835672,195131263.4241282,185223473.25480837,231031405.00697535,386155805.73154175
ACT-USD,2020-08-23,1013132803.1184918,1037014418.9304768,1123503608.092934,1093198847.2625842,1216306877.3777952,1167296477.820397,1107273988.7828088,1013132803.1184918,1037014418.9304768,1123503608.092934,1093198847.2625842,1216306877.3777952,1167296477.820397
ACT-USD,2020-09-07,510545798.13388604,456269819.1113727,408302059.6640556,366719001.17048544,326385592.81608784,302893221.27520543,319344690.1766334,510545798.13388604,456269819.1113727,408302059.6640556,366719001.17048544,326385592.81608784,302893221.27520543
ACT-USD,2021-02-09,399214649.0293388,358791465.8029611,343590157.47580916,320771183.5151307,304548963.9247271,303792717.0669266,312929013.6439045,399214649.0293388,358791465.8029611,343590157.47580916,320771183.5151307,304548963.9247271,303792717.0669266
ACT-USD,2021-02-13,304548963.9247271,303792717.0669266,312929013.6439045,318511688.70102763,314979629.8452656,316653643.76882756,439514016.8703698,304548963.9247271,303792717.0669266,312929013.6439045,318511688.70102763,314979629.8452656,316653643.76882756
ACT-USD,2021-03-09,221644413.15500784,209997734.34117672,202002383.69575316,199810786.52403462,231064632.39809227,252460642.1474116,292370660.7337674,221644413.15500784,209997734.34117672,202002383.69575316,199810786.52403462,231064632.39809227,252460642.1474116
ACT-USD,2021-03-16,323800274.5012351,317502487.40474206,306769611.5690118,303325251.7766067,282412283.2546996,267401616.49571407,383617636.5669405,323800274.5012351,317502487.40474206,306769611.5690118,303325251.7766067,282412283.2546996,267401616.49571407
ACT-USD,2021-03-29,275342550.86220247,256322949.18139556,252732610.63236374,243978081.04403162,236852909.8514725,253401332.0933944,281849679.13811135,275342550.86220247,256322949.18139556,252732610.63236374,243978081.04403162,236852909.8514725,253401332.0933944
ACT-USD,2021-04-02,236852909.8514725,253401332.0933944,281849679.13811135,275501171.7540731,264060628.3922456,261716711.00096917,292550859.2342193,236852909.8514725,253401332.0933944,281849679.13811135,275501171.7540731,264060628.3922456,261716711.00096917
ACT-USD,2021-05-23,459840807.53926826,463435737.7038464,440401843.0132208,425727230.9606519,489894569.1253969,474684030.5348725,459788077.61776906,459840807.53926826,463435737.7038464,440401843.0132208,425727230.9606519,489894569.1253969,474684030.5348725
ACT-USD,2021-08-05,167945608.69338083,160017793.44733155,174887830.0339405,181638746.17434362,212302825.9984153,212874055.33750358,257787599.52740198,167945608.69338083,160017793.44733155,174887830.0339405,181638746.17434362,212302825.9984153,212874055.33750358
ACT-USD,2022-01-04,85097042.92738554,79757524.46035981,75902708.54608886,112088499.5612241,116680658.67846431,110056438.92327893,105351851.87494656,85097042.92738554,79757524.46035981,75902708.54608886,112088499.5612241,116680658.67846431,110056438.92327893
ACT-USD,2022-01-13,95838645.1871083,91223453.68298201,83602751.47385225,88513040.87983105,79534331.79870714,97471728.7326781,214953449.9333181,95838645.1871083,91223453.68298201,83602751.47385225,88513040.87983105,79534331.79870714,97471728.7326781
ACT-USD,2022-01-23,201424076.84088108,235650986.2083199,256055767.71793097,258147990.68900594,254770241.55693346,241741593.08457762,215090993.60271066,201424076.84088108,235650986.2083199,256055767.71793097,258147990.68900594,254770241.55693346,241741593.08457762
ACT-USD,2022-02-08,173090372.76593298,165991489.6401435,146945906.79095533,149371162.01693273,135797132.7475753,136308991.95858055,252626046.7554831,173090372.76593298,165991489.6401435,146945906.79095533,149371162.01693273,135797132.7475753,136308991.95858055
ACT-USD,2022-02-13,136308991.95858055,252626046.7554831,261901738.6075304,232563064.3932882,210248811.187464,185704510.88965955,205822393.75761917,136308991.95858055,252626046.7554831,261901738.6075304,232563064.3932882,210248811.187464,185704510.88965955
ACT-USD,2022-02-17,210248811.187464,185704510.88965955,205822393.75761917,223402890.534028,206580336.09465307,245777308.62012503,241743124.63917413,210248811.187464,185704510.88965955,205822393.75761917,223402890.534028,206580336.09465307,245777308.62012503
ACT-USD,2022-03-08,153309135.8517441,136193025.78930908,140567620.64162043,148798142.37660542,140863019.68346712,128432883.00781369,145480196.94501957,153309135.8517441,136193025.78930908,140567620.64162043,148798142.37660542,140863019.68346712,128432883.00781369
ACT-USD,2024-03-10,174661874.50732931,180245561.05156267,176332710.5712182,174033094.3877149,171183432.9242897,169495393.85419974,169254277.09523267,174661874.50732931,180245561.05156267,176332710.5712182,174033094.3877149,171183432.9242897,169495393.85419974
ACT-USD,2024-07-10,6590826.369659786,5631509.460002137,4623950.605301826,3908651.3659953005,3265531.1681071953,2691237.9085074225,2231921.9237175165,6590826.369659786,5631509.460002137,4623950.605301826,3908651.3659953005,3265531.1681071953,2691237.9085074225
ACT-USD,2024-07-14,3265531.1681071953,2691237.9085074225,2231921.9237175165,1922469.4796395511,1698481.7686280177,1644212.3625805872,1367311.9042499473,3265531.1681071953,2691237.9085074225,2231921.9237175165,1922469.4796395511,1698481.7686280177,1644212.3625805872
ACT-USD,2024-07-18,1698481.7686280177,1644212.3625805872,1367311.9042499473,1168727.9938226938,962779.8858538184,787728.9975167605,645419.202619266,1698481.7686280177,1644212.3625805872,1367311.9042499473,1168727.9938226938,962779.8858538184,787728.9975167605
ACT-USD,2024-08-02,5161457.584933083,4223010.751308885,3456444.533218514,2828000.07263333,2313818.2412454514,1899481.2947610912,1555037.7896932296,5161457.584933083,4223010.751308885,3456444.533218514,2828000.07263333,2313818.2412454514,1899481.2947610912
ACT-USD,2024-11-08,818.3751609217346,2419.9352538758108,3513.353424040146,2874.561892396483,3009.881137304681,5018.649505649062,147626.63383960832,818.3751609217346,2419.9352538758108,3513.353424040146,2874.561892396483,3009.881137304681,5018.649505649062
ACT-USD,2024-11-15,180666.94484889723,156783.43977867812,132884.98054715947,115152.47510954925,100035.37815252211,83126.63625379717,73446.79009751225,180666.94484889723,156783.43977867812,132884.98054715947,115152.47510954925,100035.37815252211,83126.63625379717
ACT-USD,2024-11-25,47641.70439875127,42049.53281956139,35708.894725661674,34175.709328512174,33483.204932675435,49421.781047094526,41654.126212454095,47641.70439875127,42049.53281956139,35708.894725661674,34175.709328512174,33483.204932675435,49421.781047094526
ACT-USD,2024-12-05,66105.18324517846,69014.42984240898,66157.33165510895,55899.182326418464,55339.80010704921,67235.44261985022,56017.299590045965,66105.18324517846,69014.42984240898,66157.33165510895,55899.182326418464,55339.80010704921,67235.44261985022
ACT-USD,2025-01-02,19754.725909572197,17882.85935391195,15363.82990869457,13155.344139799437,43421.01843304478,35526.28780885482,48815.2828589383,19754.725909572197,17882.85935391195,15363.82990869457,13155.344139799437,43421.01843304478,35526.28780885482
ACT-USD,2025-02-07,14844.61796277884,18497.32346038835,15134.17374031774,18058.780704250024,14775.36603075002,12202.857006643211,9984.15573270808,14844.61796277884,18497.32346038835,15134.17374031774,18058.780704250024,14775.36603075002,12202.857006643211
ACT-USD,2025-02-13,9984.15573270808,8168.85469039752,7899.783532636159,6936.5334279350345,5796.557652105351,7667.930671610665,6273.761458590543,9984.15573270808,8168.85469039752,7899.783532636159,6936.5334279350345,5796.557652105351,7667.930671610665
ACT-USD,2025-03-11,1493.6154224473066,1222.0489820023417,1105.7511980436607,4780.674736074117,3911.461147697005,3200.2863935702767,2731.3466854011185,1493.6154224473066,1222.0489820023417,1105.7511980436607,4780.674736074117,3911.461147697005,3200.2863935702767
ACT-USD,2025-03-26,1402.3583398264484,1147.3840962216395,938.7688059995232,768.0835685450644,628.43201062778,514.1716450590926,420.6858914119848,1402.3583398264484,1147.3840962216395,938.7688059995232,768.0835685450644,628.43201062778,514.1716450590926
ACT-USD,2025-04-23,3127.5503370253923,2558.9048212025937,2093.6493991657585,1712.9858720447114,1401.5338953093092,1276.1175103881953,1044.0961448630687,3127.5503370253923,2558.9048212025937,2093.6493991657585,1712.9858720447114,1401.5338953093092,1276.1175103881953
ACT-USD,2025-05-01,698.940394495112,571.8603227687279,775.2706299746396,634.3123336156142,518.9828184127753,424.6223059740888,2593.5467027428567,698.940394495112,571.8603227687279,775.2706299746396,634.3123336156142,518.9828184127753,424.6223059740888
AGI-USD,2023-05-15,6459852.886848229,8139833.465070577,7904442.107148307,7812104.890627865,7780738.75785221,7785795.562696685,8065916.827212006,6459852.886848229,8139833.465070577,7904442.107148307,7812104.890627865,7780738.75785221,7785795.562696685
AGI-USD,2023-09-02,12814531.240621632,12534410.89638437,13378304.430125585,13534476.752048334,13153861.06689461,13417945.90334828,76861855.9884166,12814531.240621632,12534410.89638437,13378304.430125585,13534476.752048334,13153861.06689461,13417945.90334828
AGI-USD,2023-10-04,29085996.702727497,27771763.623567622,27555020.797195233,29055973.258554723,30442049.866099622,28660057.694939658,52057262.0284818,29085996.702727497,27771763.623567622,27555020.797195233,29055973.258554723,30442049.866099622,28660057.694939658
AGI-USD,2023-11-12,172074602.259269,152295782.29311976,134868146.62803328,119618112.25918159,108996827.56082587,105130414.33118002,2903956453.8007483,172074602.259269,152295782.29311976,134868146.62803328,119618112.25918159,108996827.56082587,105130414.33118002
AGI-USD,2023-11-21,7965282505.778255,8069704618.780574,7284157068.653676,6759456506.078667,6071973690.738312,5117403062.042301,4333217800.157422,7965282505.778255,8069704618.780574,7284157068.653676,6759456506.078667,6071973690.738312,5117403062.042301
AGI-USD,2023-12-06,888175157.7851949,760424253.3390397,654341392.0187774,564488962.0202715,485098174.08189875,421985969.1884739,425612389.81047964,888175157.7851949,760424253.3390397,654341392.0187774,564488962.0202715,485098174.08189875,421985969.1884739
AGI-USD,2023-12-11,421985969.1884739,425612389.81047964,408378534.06533474,384945775.15830743,354871431.4108467,319514771.9728967,317231327.867609,421985969.1884739,425612389.81047964,408378534.06533474,384945775.15830743,354871431.4108467,319514771.9728967
AGI-USD,2023-12-19,409860372.9731744,375470767.02294546,337555953.6296681,311874652.5635661,348507292.96436995,316366726.53095484,300242949.36584294,409860372.9731744,375470767.02294546,337555953.6296681,311874652.5635661,348507292.96436995,316366726.53095484
AGI-USD,2024-02-13,79983501.65131964,76427763.1835471,74531497.52541566,71174980.03347974,68426309.54163384,95950116.24764664,154860734.37219524,79983501.65131964,76427763.1835471,74531497.52541566,71174980.03347974,68426309.54163384,95950116.24764664
AGI-USD,2024-02-17,68426309.54163384,95950116.24764664,154860734.37219524,222403802.35800526,233659450.0086984,280351616.89542854,340100369.98390615,68426309.54163384,95950116.24764664,154860734.37219524,222403802.35800526,233659450.0086984,280351616.89542854
AGI-USD,2024-02-21,233659450.0086984,280351616.89542854,340100369.98390615,333922167.36882836,352446911.1216837,349050067.75166893,330046514.8748218,233659450.0086984,280351616.89542854,340100369.98390615,333922167.36882836,352446911.1216837,349050067.75166893
AGI-USD,2024-02-27,330046514.8748218,342847144.7042501,329587751.1993142,352558619.1989728,372185105.7928859,345824584.6432879,324995938.93302965,330046514.8748218,342847144.7042501,329587751.1993142,352558619.1989728,372185105.7928859,345824584.6432879
AGI-USD,2024-03-04,324995938.93302965,294847949.45311064,271334839.62248933,249519765.6002465,244599723.5755184,227564958.72807837,233163295.0400803,324995938.93302965,294847949.45311064,271334839.62248933,249519765.6002465,244599723.5755184,227564958.72807837
AGI-USD,2024-03-08,244599723.5755184,227564958.72807837,233163295.0400803,226372810.75063416,236263244.4831704,271372494.4315684,268654648.99117965,244599723.5755184,227564958.72807837,233163295.0400803,226372810.75063416,236263244.4831704,271372494.4315684
AGI-USD,2024-06-18,50118545.20068088,48695311.23700096,67751225.77355894,86893133.27041525,98916328.20952857,118544352.73483843,123641747.96280725,50118545.20068088,48695311.23700096,67751225.77355894,86893133.27041525,98916328.20952857,118544352.73483843
AGI-USD,2024-09-21,31869337.06574581,36429449.50452584,37144176.74835447,35677752.756332,35770123.77702902,56988003.46717196,82500868.08063704,31869337.06574581,36429449.50452584,37144176.74835447,35677752.756332,35770123.77702902,56988003.46717196
AGI-USD,2025-03-16,99344414.27358687,98177149.98665428,91453001.9573313,90121831.55182432,107722770.95637393,118013740.01950635,189176516.28158343,99344414.27358687,98177149.98665428,91453001.9573313,90121831.55182432,107722770.95637393,118013740.01950635
AGIX-USD,2020-08-07,23332862.627378896,30204686.325696718,32924166.649700664,32417149.62049911,32241875.90311773,37682359.7093249,43280391.00214802,23332862.627378896,30204686.325696718,32924166.649700664,32417149.62049911,32241875.90311773,37682359.7093249
AGIX-USD,2020-08-19,39402361.00645574,37745107.2834149,42121181.19024435,42536135.27544341,45030469.222315915,46736984.65774836,60895057.187531024,39402361.00645574,37745107.2834149,42121181.19024435,42536135.27544341,45030469.222315915,46736984.65774836
AGIX-USD,2021-01-01,12780289.265980422,11774841.663525954,10444458.647574645,15407670.243841697,15512871.211674068,15712329.488015484,17312827.095768694,12780289.265980422,11774841.663525954,10444458.647574645,15407670.243841697,15512871.211674068,15712329.488015484
AGIX-USD,2021-01-21,14145363.600854035,13661690.575092535,12830504.509469492,12833742.344840854,12568362.802372405,12712421.378023535,13477354.021686029,14145363.600854035,13661690.575092535,12830504.509469492,12833742.344840854,12568362.802372405,12712421.378023535
AGIX-USD,2021-01-31,13457315.250852663,18349353.630885784,18606556.57507007,19783326.09268693,24934592.360400625,24545768.45398909,25906876.114580236,13457315.250852663,18349353.630885784,18606556.57507007,19783326.09268693,24934592.360400625,24545768.45398909
AGIX-USD,2021-02-06,25906876.114580236,27166950.692566454,25240497.334672604,23414343.767501354,22247810.510932688,22057364.906836204,24127405.257982332,25906876.114580236,27166950.692566454,25240497.334672604,23414343.767501354,22247810.510932688,22057364.906836204
AGIX-USD,2021-02-10,22247810.510932688,22057364.906836204,24127405.257982332,26748676.281530797,30320319.4063999,31152889.20198961,40254775.49988397,22247810.510932688,22057364.906836204,24127405.257982332,26748676.281530797,30320319.4063999,31152889.20198961
AGIX-USD,2021-02-23,31082620.622056566,28053411.72573988,26940086.69999044,26225013.576131124,24681495.522506543,23707505.046455704,22623056.058882385,31082620.622056566,28053411.72573988,26940086.69999044,26225013.576131124,24681495.522506543,23707505.046455704
AGIX-USD,2021-03-24,15699555.38262796,15293324.571877088,14886192.591405977,14388350.098703302,15515812.167889701,16508426.894454898,16569247.956395466,15699555.38262796,15293324.571877088,14886192.591405977,14388350.098703302,15515812.167889701,16508426.894454898
AGIX-USD,2021-05-23,22083411.663976565,22845188.402877368,20436298.534831263,20723352.105442993,20443115.913043864,19042119.690810904,20353007.427677333,22083411.663976565,22845188.402877368,20436298.534831263,20723352.105442993,20443115.913043864,19042119.690810904
AGIX-USD,2021-05-28,19042119.690810904,20353007.427677333,18815734.921282604,17444145.74003673,14273779.995309176,11678962.501546679,9556268.406657903,19042119.690810904,20353007.427677333,18815734.921282604,17444145.74003673,14273779.995309176,11678962.501546679
AGIX-USD,2021-08-26,22909407.992674556,22794593.20280472,22412408.971078962,23988123.312245928,24718485.88494086,27438922.902103424,30328629.18289397,22909407.992674556,22794593.20280472,22412408.971078962,23988123.312245928,24718485.88494086,27438922.902103424
AGIX-USD,2021-08-30,24718485.88494086,27438922.902103424,30328629.18289397,30628682.13091237,30323188.948108215,31529707.760239057,36551073.52943817,24718485.88494086,27438922.902103424,30328629.18289397,30628682.13091237,30323188.948108215,31529707.760239057
AGIX-USD,2021-09-20,29163725.805625543,28886343.52761387,32293752.503455218,36786746.402913585,38325446.93890155,39294353.15563336,41118631.69779291,29163725.805625543,28886343.52761387,32293752.503455218,36786746.402913585,38325446.93890155,39294353.15563336
AGIX-USD,2022-03-21,49351672.524833895,49154416.4437843,57647740.59635918,57279029.48551129,61320165.87630912,60787952.90568784,66944171.0314756,49351672.524833895,49154416.4437843,57647740.59635918,57279029.48551129,61320165.87630912,60787952.90568784
AGIX-USD,2022-09-13,38291631.9577736,38244314.83678424,41852160.82784545,49573248.43685768,46467918.564658545,51675955.25762074,63030439.93303445,38291631.9577736,38244314.83678424,41852160.82784545,49573248.43685768,46467918.564658545,51675955.25762074
AGIX-USD,2022-10-10,19368118.103681635,19580873.314741515,17043087.500388492,16510427.770661743,16201256.739173971,51526358.34203873,131519650.17818692,19368118.103681635,19580873.314741515,17043087.500388492,16510427.770661743,16201256.739173971,51526358.34203873
AGIX-USD,2023-01-05,36925843.72045327,34412858.356254295,35629852.010138266,33955454.89550739,67856993.22334258,85313766.99156593,178096796.1073814,36925843.72045327,34412858.356254295,35629852.010138266,33955454.89550739,67856993.22334258,85313766.99156593
AGIX-USD,2023-01-09,67856993.22334258,85313766.99156593,178096796.1073814,179422347.45152882,239340421.28101933,325275066.0729024,326425307.70321196,67856993.22334258,85313766.99156593,178096796.1073814,179422347.45152882,239340421.28101933,325275066.0729024
AGIX-USD,2023-01-31,357713829.4498686,319915077.931319,292435842.078434,266454129.41402215,251077416.11543423,257899057.5006938,314398348.2539118,357713829.4498686,319915077.931319,292435842.078434,266454129.41402215,251077416.11543423,257899057.5006938
AGIX-USD,2023-02-04,251077416.11543423,257899057.5006938,314398348.2539118,373284914.4135997,457682618.7350755,486118046.41227144,538138274.458976,251077416.11543423,257899057.5006938,314398348.2539118,373284914.4135997,457682618.7350755,486118046.41227144
AGIX-USD,2023-02-26,382958261.7401905,415984856.78046954,409934934.7968693,372522165.789428,379097768.4682007,495677765.4995619,506778872.54638076,382958261.7401905,415984856.78046954,409934934.7968693,372522165.789428,379097768.4682007,495677765.4995619
AGIX-USD,2023-03-11,390012941.88135695,410151229.08547044,442384059.6179473,442352295.1550697,443018102.7715288,481425881.5835795,588880531.0072174,390012941.88135695,410151229.08547044,442384059.6179473,442352295.1550697,443018102.7715288,481425881.5835795
AGIX-USD,2024-02-14,93518248.13871424,93052292.35970922,95055204.36271931,95689018.51843081,100979999.11988842,197526777.1165793,267716104.9666593,93518248.13871424,93052292.35970922,95055204.36271931,95689018.51843081,100979999.11988842,197526777.1165793
AGIX-USD,2024-02-18,100979999.11988842,197526777.1165793,267716104.9666593,277415118.4146118,317465658.0906829,321818549.74355155,339466165.5858739,100979999.11988842,197526777.1165793,267716104.9666593,277415118.4146118,317465658.0906829,321818549.74355155
