symbol,breakout_date,b_macd_-3,b_macd_signal_-3,b_macd_-2,b_macd_signal_-2,b_macd_-1,b_macd_signal_-1,b_macd_+0,b_macd_signal_+0,b_macd_+1,b_macd_signal_+1,b_macd_+2,b_macd_signal_+2,b_macd_+3,b_macd_signal_+3,p_macd_-3,p_macd_signal_-3,p_macd_-2,p_macd_signal_-2,p_macd_-1,p_macd_signal_-1,p_macd_+0,p_macd_signal_+0,p_macd_+1,p_macd_signal_+1,p_macd_+2,p_macd_signal_+2
KDA-USD,2024-11-24,0.035997126133658464,0.02587022078446631,0.04048140498552466,0.028792457624677983,0.05084331595502667,0.03320262929074772,0.06215630876453049,0.03899336518550428,0.07451310709760273,0.04609731356792397,0.08538482034274297,0.05395481492288777,0.11238487180617363,0.06564082629954494,0.035997126133658464,0.02587022078446631,0.04048140498552466,0.028792457624677983,0.05084331595502667,0.03320262929074772,0.06215630876453049,0.03899336518550428,0.07451310709760273,0.04609731356792397,0.08538482034274297,0.05395481492288777
KDA-USD,2024-11-30,0.11238487180617363,0.06564082629954494,0.12887208800181638,0.07828707863999923,0.1463591454416021,0.0919014920003198,0.15447263607306005,0.10441572081486786,0.1578637157760906,0.11510531980711242,0.15930665192320936,0.1239455862303318,0.20086579719392694,0.13932962842305083,0.11238487180617363,0.06564082629954494,0.12887208800181638,0.07828707863999923,0.1463591454416021,0.0919014920003198,0.15447263607306005,0.10441572081486786,0.1578637157760906,0.11510531980711242,0.15930665192320936,0.1239455862303318
KDA-USD,2025-01-14,-0.0747126977819349,-0.060419076200989415,-0.07945910132346667,-0.06422708122548487,-0.0847109116214001,-0.06832384730466792,-0.08409257554745764,-0.07147759295322587,-0.07793032682479073,-0.07276813972753884,-0.07036761433313088,-0.07228803464865725,-0.04934638721647022,-0.06769970516221985,-0.0747126977819349,-0.060419076200989415,-0.07945910132346667,-0.06422708122548487,-0.0847109116214001,-0.06832384730466792,-0.08409257554745764,-0.07147759295322587,-0.07793032682479073,-0.07276813972753884,-0.07036761433313088,-0.07228803464865725
KOGE-USD,2025-02-06,-0.0802885414040091,0.5018161143422847,-0.3960999052341272,0.32223291042700236,-0.6696386962030729,0.12385858910098732,-0.8559171992724472,-0.07209656857369962,-0.9782470040186944,-0.2533266556626986,-0.9784633045456026,-0.39835398543927936,-0.46327869972082425,-0.4113389282955884,-0.0802885414040091,0.5018161143422847,-0.3960999052341272,0.32223291042700236,-0.6696386962030729,0.12385858910098732,-0.8559171992724472,-0.07209656857369962,-0.9782470040186944,-0.2533266556626986,-0.9784633045456026,-0.39835398543927936
KSM-USD,2020-02-11,-0.022417951552387017,-0.018247256223332863,-0.02336645654601166,-0.019271096287868623,-0.02478716598807651,-0.0203743102279102,-0.025427923981155676,-0.021385032978559294,-0.015405725286175675,-0.020189171440082573,0.0047289967125909715,-0.015205537809547864,0.055618807644732815,-0.0010406687186917292,-0.022417951552387017,-0.018247256223332863,-0.02336645654601166,-0.019271096287868623,-0.02478716598807651,-0.0203743102279102,-0.025427923981155676,-0.021385032978559294,-0.015405725286175675,-0.020189171440082573,0.0047289967125909715,-0.015205537809547864
KSM-USD,2020-02-17,0.055618807644732815,-0.0010406687186917292,0.08354255130656285,0.015875975286359187,0.10295982958337091,0.03329274614576153,0.10178701115546795,0.04699159914770282,0.11741724899184924,0.0610767291165321,0.15821527794593093,0.08050443888241188,0.17848781241471712,0.10010111358887293,0.055618807644732815,-0.0010406687186917292,0.08354255130656285,0.015875975286359187,0.10295982958337091,0.03329274614576153,0.10178701115546795,0.04699159914770282,0.11741724899184924,0.0610767291165321,0.15821527794593093,0.08050443888241188
KSM-USD,2020-02-28,0.45917227133736516,0.29697517031876713,0.4346649478316942,0.32451312582135255,0.4243293665121297,0.34447637395950803,0.4143656379479599,0.3584542267571984,0.4201211812369654,0.3707876176531518,0.4238662665347954,0.38140334742948057,0.4769473791142764,0.4005121537664398,0.45917227133736516,0.29697517031876713,0.4346649478316942,0.32451312582135255,0.4243293665121297,0.34447637395950803,0.4143656379479599,0.3584542267571984,0.4201211812369654,0.3707876176531518,0.4238662665347954,0.38140334742948057
KSM-USD,2020-03-17,-0.05473312533281316,0.1793212262801805,-0.10923851376321547,0.1216092782715013,-0.1583897090174684,0.06560948081370735,-0.20237250535095863,0.012013083580774152,-0.23040573734584702,-0.03647068060455008,-0.21495885495963196,-0.07216831547556646,-0.19874303313899566,-0.0974832590082523,-0.05473312533281316,0.1793212262801805,-0.10923851376321547,0.1216092782715013,-0.1583897090174684,0.06560948081370735,-0.20237250535095863,0.012013083580774152,-0.23040573734584702,-0.03647068060455008,-0.21495885495963196,-0.07216831547556646
KSM-USD,2020-03-31,-0.07864415324291207,-0.10122440873158309,-0.07843395706393697,-0.09666631839805387,-0.07156667820219731,-0.09164639035888256,-0.06397570248269258,-0.08611225278364457,-0.04274447867873743,-0.07743869796266314,-0.008384695995056202,-0.06362789756914175,0.04885775706374851,-0.041130766642563696,-0.07864415324291207,-0.10122440873158309,-0.07843395706393697,-0.09666631839805387,-0.07156667820219731,-0.09164639035888256,-0.06397570248269258,-0.08611225278364457,-0.04274447867873743,-0.07743869796266314,-0.008384695995056202,-0.06362789756914175
KSM-USD,2020-04-20,0.2357977948672083,0.18954745608534135,0.24571744610043522,0.20078145408836012,0.2575774461106577,0.21214065249281963,0.2696922168815217,0.22365096537056006,0.2735565399128954,0.23363208027902715,0.3243117329136114,0.251768010805944,0.41542133816148663,0.28449867627705255,0.2357977948672083,0.18954745608534135,0.24571744610043522,0.20078145408836012,0.2575774461106577,0.21214065249281963,0.2696922168815217,0.22365096537056006,0.2735565399128954,0.23363208027902715,0.3243117329136114,0.251768010805944
