symbol,breakout_date,market_level,adx_d0,adx_d1,adx_d2,adx_d3
DEXE-USD,2022-07-22,8.0,35.26660739953873,33.46341834550089,31.545283775687924,29.146965060473445
DEXE-USD,2022-08-26,,33.22065999480932,33.85260813892379,35.95908904046819,38.22760693443909
DEXE-USD,2022-11-09,,41.31331492736012,43.81108073836219,43.80317270739205,41.50152524882581
DEXE-USD,2023-11-06,9.0,34.17044262445719,32.8728114976544,31.69257320241044,30.99543641465926
DEXE-USD,2023-11-06,9.0,34.17044262445719,32.8728114976544,31.69257320241044,30.99543641465926
DEXE-USD,2023-11-06,9.0,34.17044262445719,32.8728114976544,31.69257320241044,30.99543641465926
DEXE-USD,2023-11-06,9.0,34.17044262445719,32.8728114976544,31.69257320241044,30.99543641465926
DEXE-USD,2024-02-25,8.0,34.27527178567512,31.106895270852416,27.69479748565874,24.02023064006556
DEXE-USD,2024-02-25,8.0,34.27527178567512,31.106895270852416,27.69479748565874,24.02023064006556
DEXE-USD,2024-02-25,7.0,34.27527178567512,31.106895270852416,27.69479748565874,24.02023064006556
DEXE-USD,2024-02-25,8.0,34.27527178567512,31.106895270852416,27.69479748565874,24.02023064006556
DEXE-USD,2024-03-04,8.0,57.8475279440138,55.56099326504938,52.73247965814812,49.7471381332878
DEXE-USD,2024-03-04,8.0,57.8475279440138,55.56099326504938,52.73247965814812,49.7471381332878
DEXE-USD,2024-03-04,8.0,57.8475279440138,55.56099326504938,52.73247965814812,49.7471381332878
DEXE-USD,2024-03-04,7.0,57.8475279440138,55.56099326504938,52.73247965814812,49.7471381332878
DEXE-USD,2024-03-19,8.0,69.97547701778521,69.88052898135545,69.7782772498157,69.86891878503523
DEXE-USD,2024-03-19,7.0,69.97547701778521,69.88052898135545,69.7782772498157,69.86891878503523
DEXE-USD,2024-03-19,6.0,69.97547701778521,69.88052898135545,69.7782772498157,69.86891878503523
DEXE-USD,2024-03-19,6.0,69.97547701778521,69.88052898135545,69.7782772498157,69.86891878503523
DEXE-USD,2024-12-20,4.0,22.928437839932656,22.19849786285808,23.349538655079893,24.38041948797672
DEXE-USD,2024-12-20,2.0,22.928437839932656,22.19849786285808,23.349538655079893,24.38041948797672
DEXE-USD,2024-12-20,1.0,22.928437839932656,22.19849786285808,23.349538655079893,24.38041948797672
DEXE-USD,2024-12-20,1.0,22.928437839932656,22.19849786285808,23.349538655079893,24.38041948797672
DEXE-USD,2024-12-30,8.0,35.77985915274292,34.77048049474588,34.394337380726235,34.22429041143389
DEXE-USD,2024-12-30,6.0,35.77985915274292,34.77048049474588,34.394337380726235,34.22429041143389
DEXE-USD,2024-12-30,3.0,35.77985915274292,34.77048049474588,34.394337380726235,34.22429041143389
DEXE-USD,2024-12-30,3.0,35.77985915274292,34.77048049474588,34.394337380726235,34.22429041143389
DEXE-USD,2025-01-13,,34.85542967649845,37.04729537019383,37.61663003331476,38.38583080342221
DEXE-USD,2025-01-29,,35.254680519841614,37.34588047897076,36.59291703256186,35.54394680393831
DGB-USD,2020-12-23,7.0,17.593406778431245,18.045262294108245,18.17443969940047,18.4182864889222
DGB-USD,2020-12-23,6.0,17.593406778431245,18.045262294108245,18.17443969940047,18.4182864889222
DGB-USD,2020-12-23,6.0,17.593406778431245,18.045262294108245,18.17443969940047,18.4182864889222
DGB-USD,2020-12-23,6.0,17.593406778431245,18.045262294108245,18.17443969940047,18.4182864889222
DGB-USD,2020-12-31,8.0,26.700930156979176,25.404463458818828,23.527281061439936,22.225705275902367
DGB-USD,2020-12-31,7.0,26.700930156979176,25.404463458818828,23.527281061439936,22.225705275902367
DGB-USD,2020-12-31,6.0,26.700930156979176,25.404463458818828,23.527281061439936,22.225705275902367
DGB-USD,2020-12-31,6.0,26.700930156979176,25.404463458818828,23.527281061439936,22.225705275902367
DGB-USD,2021-01-27,,20.45196618009791,19.93398892539892,19.952881984057694,20.41383522801501
DGB-USD,2021-02-05,8.0,23.00018119930464,21.010115772602223,20.2559093269816,19.414143150216383
DGB-USD,2021-02-05,8.0,23.00018119930464,21.010115772602223,20.2559093269816,19.414143150216383
DGB-USD,2021-02-05,9.0,23.00018119930464,21.010115772602223,20.2559093269816,19.414143150216383
DGB-USD,2021-02-05,9.0,23.00018119930464,21.010115772602223,20.2559093269816,19.414143150216383
