symbol,breakout_date,start_price,max_window_price,max_gain,market_level,Date,Close,High,Low,Open,Volume,close,volume,high,low,obv,cmf,rvol
A-USD,2021-05-03,0.0047550001181662,0.0452889986336231,8.524500001713802,9,2021-05-03,0.0047550001181662,0.0235890001058578,0.0046169999986886,0.0226520001888275,107,0.0047550001181662,107,0.0235890001058578,0.0046169999986886,45961,-0.6011117664618213,0.11598287355698879
A-USD,2021-05-08,0.0047129997983574,0.0078630000352859,0.6683641781666009,9,2021-05-08,0.0047129997983574,0.0390280000865459,0.0045940000563859,0.0344289988279342,0,0.0047129997983574,0,0.0390280000865459,0.0045940000563859,46582,-0.5144826817443683,0.0
A-USD,2021-05-14,0.0048759998753666,0.0065339999273419,0.340032833132639,6,2021-05-14,0.0048759998753666,0.0092590004205703,0.0047329999506473,0.0089490003883838,0,0.0048759998753666,0,0.0092590004205703,0.0047329999506473,46640,0.668165445386886,0.0
A-USD,2021-05-18,0.0040199998766183,0.0185509994626045,3.614676624868444,3,2021-05-18,0.0040199998766183,0.0068299998529255,0.0038970001041889,0.0065649999305605,0,0.0040199998766183,0,0.0068299998529255,0.0038970001041889,46642,0.6680402262833031,0.0
A-USD,2021-05-22,0.0127560002729296,0.0200900007039308,0.5749451453497687,1,2021-05-22,0.0127560002729296,0.019166000187397,0.0127529995515942,0.0185610000044107,15,0.0127560002729296,15,0.019166000187397,0.0127529995515942,47504,0.49252952750985235,0.17026106696935303
A-USD,2021-05-28,0.0129399998113513,0.017637999728322,0.363060277083582,3,2021-05-28,0.0129399998113513,0.0204799994826316,0.0072530000470578,0.0191549994051456,479,0.0129399998113513,479,0.0204799994826316,0.0072530000470578,47169,0.2609389572421323,5.8095815645845965
A-USD,2021-06-03,0.0156679991632699,0.024431999772787,0.5593567192716177,8,2021-06-03,0.0156679991632699,0.0157919991761446,0.0148980002850294,0.0150300003588199,54,0.0156679991632699,54,0.0157919991761446,0.0148980002850294,47328,0.28798106493561804,0.6206896551724138
A-USD,2021-06-12,0.0074640000239014,0.0139990001916885,0.875535925356453,1,2021-06-12,0.0074640000239014,0.0076890001073479,0.007137999869883,0.0073839998804032,0,0.0074640000239014,0,0.0076890001073479,0.007137999869883,47309,0.24295235208957397,0.0
A-USD,2021-06-18,0.0071240002289414,0.0134079996496438,0.8820886045418025,2,2021-06-18,0.0071240002289414,0.0130979996174573,0.0068919998593628,0.013065000064671,951,0.0071240002289414,951,0.0130979996174573,0.0068919998593628,46360,-0.5660328861147877,14.744186046511627
A-USD,2021-06-26,0.0059079998172819,0.0088849999010562,0.5038930561687003,1,2021-06-26,0.0059079998172819,0.0098919998854398,0.0056150001473724,0.0074640000239014,0,0.0059079998172819,0,0.0098919998854398,0.0056150001473724,53105,0.32266352392347725,0.0
A-USD,2021-07-13,0.0060069998726248,0.0082130003720521,0.367238313002223,2,2021-07-13,0.0060069998726248,0.006345999892801,0.0059650000184774,0.006345999892801,77,0.0060069998726248,77,0.006345999892801,0.0059650000184774,61388,0.24686564051321966,0.07814482163698178
A-USD,2021-07-25,0.0050550000742077,0.0078309997916221,0.5491591843051551,8,2021-07-25,0.0050550000742077,0.0073819998651742,0.0049850000068545,0.0071609998121857,0,0.0050550000742077,0,0.0073819998651742,0.0049850000068545,63235,-0.17165933218888227,0.0
A-USD,2021-07-29,0.0079819997772574,0.0113479997962713,0.4216988365001495,7,2021-07-29,0.0079819997772574,0.0080519998446106,0.0077490000985562,0.0078619997948408,0,0.0079819997772574,0,0.0080519998446106,0.0077490000985562,63235,0.45464473702839886,0.0
A-USD,2021-08-02,0.0064719999209046,0.0118079995736479,0.8244746164949706,9,2021-08-02,0.0064719999209046,0.0113540003076195,0.0056659998372197,0.0113279996439814,0,0.0064719999209046,0,0.0113540003076195,0.0056659998372197,63235,0.5367453696396091,0.0
A-USD,2021-08-11,0.0061349999159574,0.0084349997341632,0.3748981010127483,9,2021-08-11,0.0061349999159574,0.0072479997761547,0.0061079999431967,0.006796000059694,0,0.0061349999159574,0,0.0072479997761547,0.0061079999431967,63235,-0.4662714932501477,0.0
A-USD,2021-08-15,0.0053610000759363,0.0125350002199411,1.3381831826875803,9,2021-08-15,0.0053610000759363,0.0054210000671446,0.0053579998202621,0.0054190000519156,0,0.0053610000759363,0,0.0054210000671446,0.0053579998202621,63248,0.4085180253784263,0.0
A-USD,2021-08-22,0.0056770001538097,0.0079290000721812,0.3966883666297308,9,2021-08-22,0.0056770001538097,0.0056830001994967,0.0056710001081228,0.0056759999133646,0,0.0056770001538097,0,0.0056830001994967,0.0056710001081228,63248,0.4085180253784263,0.0
