symbol,breakout_date,start_price,max_window_price,max_gain,market_level,Date,Close,High,Low,Open,Volume,close,high,low,atr,std,bbw,rng
A-USD,2021-02-18,0.0031590000726282,0.0245130006223917,6.759734111686034,9,2021-02-18,0.0031590000726282,0.023089999333024,0.0031179999932646,0.0227400008589029,44,0.0031590000726282,0.023089999333024,0.0031179999932646,0.003394456567544562,0.005272646593309872,0.01901060495667127,6.322253523452203
A-USD,2021-02-22,0.0229170005768537,0.0326940007507801,0.4266265186466515,7,2021-02-22,0.0229170005768537,0.0245140008628368,0.0205710008740425,0.0245120003819465,0,0.0229170005768537,0.0245140008628368,0.0205710008740425,0.004181050269549676,0.005282635050992788,0.018760398502752067,0.17205567437026428
A-USD,2021-03-07,0.0107180001214146,0.0365639999508857,2.4114573182202816,7,2021-03-07,0.0107180001214146,0.0107540003955364,0.0102610001340508,0.0102610001340508,0,0.0107180001214146,0.0107540003955364,0.0102610001340508,0.004557904342673118,0.007342670914886986,0.029978132871897392,0.04599741144811006
A-USD,2021-03-12,0.0020389999262988,0.0384019985795021,17.833742014502935,7,2021-03-12,0.0020389999262988,0.0367899984121322,0.0019960000645369,0.0365240015089511,0,0.0020389999262988,0.0367899984121322,0.0019960000645369,0.007489762060192447,0.009965732308612075,0.039028471233928844,17.06424698639077
A-USD,2021-04-01,0.0023330000694841,0.0219919998198747,8.426489140541614,9,2021-04-01,0.0023330000694841,0.0302259996533393,0.0022559999488294,0.0298599991947412,1,0.0023330000694841,0.0302259996533393,0.0022559999488294,0.005789228448520272,0.006878098951021503,0.027301183909981173,11.988855067070338
A-USD,2021-04-16,0.0082050003111362,0.0234009996056556,1.852041281935687,9,2021-04-16,0.0082050003111362,0.0423979982733726,0.0041450001299381,0.0253260005265474,2214,0.0082050003111362,0.0423979982733726,0.0041450001299381,0.005737488651938427,0.003958809928767022,0.025023426331223907,4.662156818143662
A-USD,2021-04-20,0.0034040000755339,0.0204380005598068,5.00411283968647,6,2021-04-20,0.0034040000755339,0.0055430000647902,0.0027489999774843,0.0055280001834034,9969,0.0034040000755339,0.0055430000647902,0.0027489999774843,0.007120343337038169,0.007839354323131932,0.0298012685488116,0.8207990673642027
A-USD,2021-05-03,0.0047550001181662,0.0452889986336231,8.524500001713802,9,2021-05-03,0.0047550001181662,0.0235890001058578,0.0046169999986886,0.0226520001888275,107,0.0047550001181662,0.0235890001058578,0.0046169999986886,0.006038114625739862,0.008335529492530708,0.03284494026610191,3.9899052861613575
A-USD,2021-05-08,0.0047129997983574,0.0078630000352859,0.6683641781666009,9,2021-05-08,0.0047129997983574,0.0390280000865459,0.0045940000563859,0.0344289988279342,0,0.0047129997983574,0.0390280000865459,0.0045940000563859,0.012957715711302597,0.01083476013318804,0.04358579368637302,7.30617473019225
A-USD,2021-05-14,0.0048759998753666,0.0065339999273419,0.340032833132639,6,2021-05-14,0.0048759998753666,0.0092590004205703,0.0047329999506473,0.0089490003883838,0,0.0048759998753666,0.0092590004205703,0.0047329999506473,0.009864823478303777,0.012663330108202215,0.043146286894786154,0.9282199724385175
A-USD,2021-05-18,0.0040199998766183,0.0185509994626045,3.614676624868444,3,2021-05-18,0.0040199998766183,0.0068299998529255,0.0038970001041889,0.0065649999305605,0,0.0040199998766183,0.0068299998529255,0.0038970001041889,0.007822595950096364,0.01257158543508907,0.0451657455536528,0.7296019499393355
A-USD,2021-05-22,0.0127560002729296,0.0200900007039308,0.5749451453497687,1,2021-05-22,0.0127560002729296,0.019166000187397,0.0127529995515942,0.0185610000044107,15,0.0127560002729296,0.019166000187397,0.0127529995515942,0.007933424559985528,0.004372722083853071,0.04265570371002401,0.5027438459226342
A-USD,2021-05-28,0.0129399998113513,0.017637999728322,0.363060277083582,3,2021-05-28,0.0129399998113513,0.0204799994826316,0.0072530000470578,0.0191549994051456,479,0.0129399998113513,0.0204799994826316,0.0072530000470578,0.008913487635045188,0.00754333831867568,0.025834393441093964,1.0221792603096282
A-USD,2021-06-03,0.0156679991632699,0.024431999772787,0.5593567192716177,8,2021-06-03,0.0156679991632699,0.0157919991761446,0.0148980002850294,0.0150300003588199,54,0.0156679991632699,0.0157919991761446,0.0148980002850294,0.00816641737334614,0.006003786020718377,0.026930362684730917,0.05705890597766817
A-USD,2021-06-12,0.0074640000239014,0.0139990001916885,0.875535925356453,1,2021-06-12,0.0074640000239014,0.0076890001073479,0.007137999869883,0.0073839998804032,0,0.0074640000239014,0.0076890001073479,0.007137999869883,0.006110799654517932,0.0054840951709838074,0.02278476525536529,0.07382103908098529
A-USD,2021-06-18,0.0071240002289414,0.0134079996496438,0.8820886045418025,2,2021-06-18,0.0071240002289414,0.0130979996174573,0.0068919998593628,0.013065000064671,951,0.0071240002289414,0.0130979996174573,0.0068919998593628,0.005220892297517426,0.004824891445649127,0.01883312285651669,0.8711397471440969
A-USD,2021-06-26,0.0059079998172819,0.0088849999010562,0.5038930561687003,1,2021-06-26,0.0059079998172819,0.0098919998854398,0.0056150001473724,0.0074640000239014,0,0.0059079998172819,0.0098919998854398,0.0056150001473724,0.005106877772787867,0.0028481740351381716,0.009541996522309266,0.723933627343124
A-USD,2021-07-13,0.0060069998726248,0.0082130003720521,0.367238313002223,2,2021-07-13,0.0060069998726248,0.006345999892801,0.0059650000184774,0.006345999892801,77,0.0060069998726248,0.006345999892801,0.0059650000184774,0.0022681679554595493,0.0009945684440022422,0.003909091280700959,0.0634259834197599
A-USD,2021-07-25,0.0050550000742077,0.0078309997916221,0.5491591843051551,8,2021-07-25,0.0050550000742077,0.0073819998651742,0.0049850000068545,0.0071609998121857,0,0.0050550000742077,0.0073819998651742,0.0049850000068545,0.0016203949735965062,0.0009175323596953442,0.004055498980962299,0.4741839412723244
A-USD,2021-07-29,0.0079819997772574,0.0113479997962713,0.4216988365001495,7,2021-07-29,0.0079819997772574,0.0080519998446106,0.0077490000985562,0.0078619997948408,0,0.0079819997772574,0.0080519998446106,0.0077490000985562,0.0014261889589895545,0.0009835963675214824,0.0035703655827642906,0.03796038016910477
A-USD,2021-08-02,0.0064719999209046,0.0118079995736479,0.8244746164949706,9,2021-08-02,0.0064719999209046,0.0113540003076195,0.0056659998372197,0.0113279996439814,0,0.0064719999209046,0.0113540003076195,0.0056659998372197,0.002078314041063247,0.001477651575918211,0.00540970888765839,0.8788628769953355
A-USD,2021-08-11,0.0061349999159574,0.0084349997341632,0.3748981010127483,9,2021-08-11,0.0061349999159574,0.0072479997761547,0.0061079999431967,0.006796000059694,0,0.0061349999159574,0.0072479997761547,0.0061079999431967,0.002073290070796461,0.00288923331362783,0.010501314860585104,0.18581904622244763
A-USD,2021-08-15,0.0053610000759363,0.0125350002199411,1.3381831826875803,9,2021-08-15,0.0053610000759363,0.0054210000671446,0.0053579998202621,0.0054190000519156,0,0.0053610000759363,0.0054210000671446,0.0053579998202621,0.002403576109399792,0.0031362259062219537,0.010795148972077378,0.011751584777117772
A-USD,2021-08-22,0.0056770001538097,0.0079290000721812,0.3966883666297308,9,2021-08-22,0.0056770001538097,0.0056830001994967,0.0056710001081228,0.0056759999133646,0,0.0056770001538097,0.0056830001994967,0.0056710001081228,0.0022857822689381006,0.0030726257457426727,0.01255554014670628,0.0021138085342216374
A-USD,2021-09-01,0.0071220002137124,0.014131000265479,0.9841336480546244,9,2021-09-01,0.0071220002137124,0.0071229999884963,0.0069599999114871,0.0069630001671612,0,0.0071220002137124,0.0071229999884963,0.0069599999114871,0.0014869655655810477,0.0007350190892906074,0.00886100323781833,0.02288683966835141
A-USD,2021-09-14,0.0069439997896552,0.0109959999099373,0.5835253806197623,3,2021-09-14,0.0069439997896552,0.0069519998505711,0.0067239999771118,0.0067369998432695,0,0.0069439997896552,0.0069519998505711,0.0067239999771118,0.0013345432189421683,0.0022107810893849103,0.007591698629181269,0.03283408415405803
A-USD,2021-10-01,0.0097740003839135,0.0149980001151561,0.5344791821208131,6,2021-10-01,0.0097740003839135,0.0098010003566741,0.0093019995838403,0.0093369996175169,0,0.0097740003839135,0.0098010003566741,0.0093019995838403,0.001230243710577929,0.00153196579178301,0.007088556633335755,0.051053893312208005
A-USD,2021-10-05,0.0100940000265836,0.0140420002862811,0.3911234643649722,7,2021-10-05,0.0100940000265836,0.015014000236988,0.0099609997123479,0.0149980001151561,0,0.0100940000265836,0.015014000236988,0.0099609997123479,0.001649634290819501,0.0015127230592193168,0.007270597781740117,0.5005944631793637
A-USD,2021-10-13,0.0068339998833835,0.009549000300467,0.3972783821206781,7,2021-10-13,0.0068339998833835,0.0098879998549819,0.0063930000178515,0.0098449997603893,37,0.0068339998833835,0.0098879998549819,0.0063930000178515,0.002138282200601628,0.0021991345410256728,0.00726059745043393,0.5114135055267269
A-USD,2021-11-03,0.0100710000842809,0.0271290000528097,1.693774185858007,9,2021-11-03,0.0100710000842809,0.010122999548912,0.0099320001900196,0.0100739998742938,0,0.0100710000842809,0.010122999548912,0.0099320001900196,0.0006829907703983887,0.00016700736485176395,0.0006987771599405758,0.018965282225597072
A-USD,2022-01-26,0.0042469999752938,0.016907999292016,2.9811630304627763,1,2022-01-26,0.0042469999752938,0.0045619998127222,0.0041769999079406,0.0042429999448359,0,0.0042469999752938,0.0045619998127222,0.0041769999079406,0.0003602888706885741,0.0005523119256827095,0.0021887151915909783,0.09065220320726898
A-USD,2022-01-30,0.0171080008149147,0.0252449996769428,0.4756253492187288,1,2022-01-30,0.0171080008149147,0.0172199998050928,0.0149480002000927,0.0169159993529319,0,0.0171080008149147,0.0172199998050928,0.0149480002000927,0.0014277298094567815,0.004550774076717198,0.014752457747132776,0.13280333743141856
A-USD,2022-02-06,0.0106520000845193,0.0185410007834434,0.7406121513638827,8,2022-02-06,0.0106520000845193,0.0109850000590085,0.0103449998423457,0.0109440004453063,124,0.0106520000845193,0.0109850000590085,0.0103449998423457,0.0036085071674536937,0.00822148897811461,0.030537390185469013,0.06008263345706503
A-USD,2022-02-10,0.0079239998012781,0.0174240004271268,1.1988895588205846,7,2022-02-10,0.0079239998012781,0.0199400000274181,0.0079089999198913,0.0185439996421337,500,0.0079239998012781,0.0199400000274181,0.0079089999198913,0.004921534355619317,0.006554631734766329,0.02929754541354073,1.5182988906166126
A-USD,2022-02-14,0.0049870000220835,0.0260990001261234,4.233406859946152,4,2022-02-14,0.0049870000220835,0.0177549999207258,0.0048830001614987,0.0174059998244047,11,0.0049870000220835,0.0177549999207258,0.0048830001614987,0.005345842138724056,0.0066971147435973925,0.02677869323760473,2.5811108285997877
A-USD,2022-04-04,0.0155699998140335,0.0275529995560646,0.7696210587768038,9,2022-04-04,0.0155699998140335,0.0156309995800256,0.0151260001584887,0.0155619997531175,0,0.0155699998140335,0.0156309995800256,0.0151260001584887,0.0008099926153032846,0.000743028077306241,0.004013163854647318,0.03243413150729363
A-USD,2022-04-10,0.0112420003861188,0.0163659993559122,0.4557906772641925,3,2022-04-10,0.0112420003861188,0.0244200006127357,0.0112420003861188,0.0243820007890462,29,0.0112420003861188,0.0244200006127357,0.0112420003861188,0.0027516254594949605,0.004688069500657438,0.016144595381526718,1.1722113301907193
A-USD,2022-04-26,0.00891700014472,0.0122069995850324,0.3689581010336195,2,2022-04-26,0.00891700014472,0.0095640001818537,0.0088590001687407,0.0095130000263452,0,0.00891700014472,0.0095640001818537,0.0088590001687407,0.0016298119387108585,0.003476168412594857,0.020796321035620985,0.07906246514198491
A-USD,2022-05-13,0.0027020000852644,0.0086770001798868,2.2113249097243184,1,2022-05-13,0.0027020000852644,0.0028639999218285,0.0026209999341517,0.0026449998840689,0,0.0027020000852644,0.0028639999218285,0.0026209999341517,0.001573236127266823,0.00303878879122512,0.014489786192049221,0.08993337528078633
A-USD,2022-06-19,0.0025220001116394,0.0073489998467266,1.9139569870793776,3,2022-06-19,0.0025220001116394,0.002553999889642,0.00211300002411,0.0022259999532252,0,0.0025220001116394,0.002553999889642,0.00211300002411,0.00044727575555836876,0.0007076504770153403,0.0028426831478882055,0.17486116019453027
A-USD,2022-07-15,0.004414000082761,0.0083280000835657,0.8867240433662282,8,2022-07-15,0.004414000082761,0.0045639998279511,0.004236000124365,0.0042679999023675,0,0.004414000082761,0.0045639998279511,0.004236000124365,0.0004064730577983806,0.00023595166613640895,0.0008921905121103257,0.07430894821844516
A-USD,2022-08-11,0.0054370001889765,0.0098090004175901,0.8041199331715705,9,2022-08-11,0.0054370001889765,0.0055669997818768,0.0053570000454783,0.0053590000607073,0,0.0054370001889765,0.0055669997818768,0.0053570000454783,0.0007109077114824949,0.0012477869109626502,0.004151931002569917,0.03862419148417061
